Label,Count,Wing_Area
MP_MalKopp1.1_B3_1_F__01.tif,74,A1
MP_MalKopp1.1_B3_1_F__01.tif,79,A2
MP_MalKopp1.1_B3_1_F__01.tif,81,B1
MP_MalKopp1.1_B3_1_F__01.tif,72,B2
MP_MalKopp1.1_B3_1_F__01.tif,82,B3
MP_MalKopp1.1_B3_1_F__01.tif,73,C1
MP_MalKopp1.1_B3_1_F__01.tif,88,C2
MP_MalKopp1.1_B3_1_F__01.tif,97,C3
MP_MalKopp1.1_B3_1_F__01.tif,91,E1
MP_MalKopp1.1_B3_1_F__01.tif,92,E2
MP_MalKopp1.1_B3_1_F__01.tif,90,F1
MP_MalKopp1.1_B3_1_F__01.tif,89,F2
MP_MalKopp1.1_B3_1_F__01.tif,85,F3
MP_MalKopp1.1_B3_1_F__01.tif,113,G1
MP_MalKopp1.1_B3_1_F__01.tif,87,G2
MP_MalKopp1.1_B3_1_F__01.tif,92,G3
MP_MalKopp1.1_B3_1_F__02.tif,66,A1
MP_MalKopp1.1_B3_1_F__02.tif,76,A2
MP_MalKopp1.1_B3_1_F__02.tif,86,B1
MP_MalKopp1.1_B3_1_F__02.tif,81,B2
MP_MalKopp1.1_B3_1_F__02.tif,88,B3
MP_MalKopp1.1_B3_1_F__02.tif,68,C1
MP_MalKopp1.1_B3_1_F__02.tif,82,C2
MP_MalKopp1.1_B3_1_F__02.tif,103,C3
MP_MalKopp1.1_B3_1_F__02.tif,104,E1
MP_MalKopp1.1_B3_1_F__02.tif,85,E2
MP_MalKopp1.1_B3_1_F__02.tif,85,F1
MP_MalKopp1.1_B3_1_F__02.tif,80,F2
MP_MalKopp1.1_B3_1_F__02.tif,104,F3
MP_MalKopp1.1_B3_1_F__02.tif,94,G1
MP_MalKopp1.1_B3_1_F__02.tif,75,G2
MP_MalKopp1.1_B3_1_F__02.tif,99,G3
MP_MalKopp1.1_B3_1_F__03.tif,77,A1
MP_MalKopp1.1_B3_1_F__03.tif,82,A2
MP_MalKopp1.1_B3_1_F__03.tif,86,B1
MP_MalKopp1.1_B3_1_F__03.tif,76,B2
MP_MalKopp1.1_B3_1_F__03.tif,87,B3
MP_MalKopp1.1_B3_1_F__03.tif,62,C1
MP_MalKopp1.1_B3_1_F__03.tif,88,C2
MP_MalKopp1.1_B3_1_F__03.tif,105,C3
MP_MalKopp1.1_B3_1_F__03.tif,85,E1
MP_MalKopp1.1_B3_1_F__03.tif,89,E2
MP_MalKopp1.1_B3_1_F__03.tif,77,F1
MP_MalKopp1.1_B3_1_F__03.tif,84,F2
MP_MalKopp1.1_B3_1_F__03.tif,110,F3
MP_MalKopp1.1_B3_1_F__03.tif,114,G1
MP_MalKopp1.1_B3_1_F__03.tif,78,G2
MP_MalKopp1.1_B3_1_F__03.tif,116,G3
MP_MalKopp1.1_B3_1_F__04.tif,67,A1
MP_MalKopp1.1_B3_1_F__04.tif,74,A2
MP_MalKopp1.1_B3_1_F__04.tif,88,B1
MP_MalKopp1.1_B3_1_F__04.tif,92,B2
MP_MalKopp1.1_B3_1_F__04.tif,88,B3
MP_MalKopp1.1_B3_1_F__04.tif,64,C1
MP_MalKopp1.1_B3_1_F__04.tif,78,C2
MP_MalKopp1.1_B3_1_F__04.tif,103,C3
MP_MalKopp1.1_B3_1_F__04.tif,98,E1
MP_MalKopp1.1_B3_1_F__04.tif,100,E2
MP_MalKopp1.1_B3_1_F__04.tif,76,F1
MP_MalKopp1.1_B3_1_F__04.tif,95,F2
MP_MalKopp1.1_B3_1_F__04.tif,103,F3
MP_MalKopp1.1_B3_1_F__04.tif,94,G1
MP_MalKopp1.1_B3_1_F__04.tif,80,G2
MP_MalKopp1.1_B3_1_F__04.tif,101,G3
MP_MalKopp1.1_B3_1_F__05.tif,74,A1
MP_MalKopp1.1_B3_1_F__05.tif,71,A2
MP_MalKopp1.1_B3_1_F__05.tif,91,B1
MP_MalKopp1.1_B3_1_F__05.tif,81,B2
MP_MalKopp1.1_B3_1_F__05.tif,89,B3
MP_MalKopp1.1_B3_1_F__05.tif,69,C1
MP_MalKopp1.1_B3_1_F__05.tif,88,C2
MP_MalKopp1.1_B3_1_F__05.tif,106,C3
MP_MalKopp1.1_B3_1_F__05.tif,104,E1
MP_MalKopp1.1_B3_1_F__05.tif,89,E2
MP_MalKopp1.1_B3_1_F__05.tif,82,F1
MP_MalKopp1.1_B3_1_F__05.tif,103,F2
MP_MalKopp1.1_B3_1_F__05.tif,109,F3
MP_MalKopp1.1_B3_1_F__05.tif,112,G1
MP_MalKopp1.1_B3_1_F__05.tif,90,G2
MP_MalKopp1.1_B3_1_F__05.tif,102,G3
MP_MalKopp1.1_B3_1_F__06.tif,77,A1
MP_MalKopp1.1_B3_1_F__06.tif,76,A2
MP_MalKopp1.1_B3_1_F__06.tif,77,B1
MP_MalKopp1.1_B3_1_F__06.tif,78,B2
MP_MalKopp1.1_B3_1_F__06.tif,90,B3
MP_MalKopp1.1_B3_1_F__06.tif,66,C1
MP_MalKopp1.1_B3_1_F__06.tif,80,C2
MP_MalKopp1.1_B3_1_F__06.tif,99,C3
MP_MalKopp1.1_B3_1_F__06.tif,88,E1
MP_MalKopp1.1_B3_1_F__06.tif,83,E2
MP_MalKopp1.1_B3_1_F__06.tif,91,F1
MP_MalKopp1.1_B3_1_F__06.tif,89,F2
MP_MalKopp1.1_B3_1_F__06.tif,114,F3
MP_MalKopp1.1_B3_1_F__06.tif,112,G1
MP_MalKopp1.1_B3_1_F__06.tif,80,G2
MP_MalKopp1.1_B3_1_F__06.tif,109,G3
MP_MalKopp1.1_B3_1_F__07.tif,74,A1
MP_MalKopp1.1_B3_1_F__07.tif,82,A2
MP_MalKopp1.1_B3_1_F__07.tif,77,B1
MP_MalKopp1.1_B3_1_F__07.tif,85,B2
MP_MalKopp1.1_B3_1_F__07.tif,80,B3
MP_MalKopp1.1_B3_1_F__07.tif,66,C1
MP_MalKopp1.1_B3_1_F__07.tif,91,C2
MP_MalKopp1.1_B3_1_F__07.tif,101,C3
MP_MalKopp1.1_B3_1_F__07.tif,102,E1
MP_MalKopp1.1_B3_1_F__07.tif,92,E2
MP_MalKopp1.1_B3_1_F__07.tif,70,F1
MP_MalKopp1.1_B3_1_F__07.tif,76,F2
MP_MalKopp1.1_B3_1_F__07.tif,101,F3
MP_MalKopp1.1_B3_1_F__07.tif,103,G1
MP_MalKopp1.1_B3_1_F__07.tif,76,G2
MP_MalKopp1.1_B3_1_F__07.tif,97,G3
MP_MalKopp1.1_B3_1_F__08.tif,76,A1
MP_MalKopp1.1_B3_1_F__08.tif,79,A2
MP_MalKopp1.1_B3_1_F__08.tif,82,B1
MP_MalKopp1.1_B3_1_F__08.tif,70,B2
MP_MalKopp1.1_B3_1_F__08.tif,83,B3
MP_MalKopp1.1_B3_1_F__08.tif,57,C1
MP_MalKopp1.1_B3_1_F__08.tif,75,C2
MP_MalKopp1.1_B3_1_F__08.tif,92,C3
MP_MalKopp1.1_B3_1_F__08.tif,84,E1
MP_MalKopp1.1_B3_1_F__08.tif,95,E2
MP_MalKopp1.1_B3_1_F__08.tif,79,F1
MP_MalKopp1.1_B3_1_F__08.tif,94,F2
MP_MalKopp1.1_B3_1_F__08.tif,102,F3
MP_MalKopp1.1_B3_1_F__08.tif,108,G1
MP_MalKopp1.1_B3_1_F__08.tif,73,G2
MP_MalKopp1.1_B3_1_F__08.tif,104,G3
MP_MalKopp1.1_B3_1_F__09.tif,74,A1
MP_MalKopp1.1_B3_1_F__09.tif,71,A2
MP_MalKopp1.1_B3_1_F__09.tif,82,B1
MP_MalKopp1.1_B3_1_F__09.tif,81,B2
MP_MalKopp1.1_B3_1_F__09.tif,78,B3
MP_MalKopp1.1_B3_1_F__09.tif,77,C1
MP_MalKopp1.1_B3_1_F__09.tif,90,C2
MP_MalKopp1.1_B3_1_F__09.tif,115,C3
MP_MalKopp1.1_B3_1_F__09.tif,85,E1
MP_MalKopp1.1_B3_1_F__09.tif,88,E2
MP_MalKopp1.1_B3_1_F__09.tif,76,F1
MP_MalKopp1.1_B3_1_F__09.tif,77,F2
MP_MalKopp1.1_B3_1_F__09.tif,108,F3
MP_MalKopp1.1_B3_1_F__09.tif,124,G1
MP_MalKopp1.1_B3_1_F__09.tif,76,G2
MP_MalKopp1.1_B3_1_F__09.tif,95,G3
MP_MalKopp1.1_B3_1_F__10.tif,71,A1
MP_MalKopp1.1_B3_1_F__10.tif,79,A2
MP_MalKopp1.1_B3_1_F__10.tif,92,B1
MP_MalKopp1.1_B3_1_F__10.tif,85,B2
MP_MalKopp1.1_B3_1_F__10.tif,95,B3
MP_MalKopp1.1_B3_1_F__10.tif,70,C1
MP_MalKopp1.1_B3_1_F__10.tif,86,C2
MP_MalKopp1.1_B3_1_F__10.tif,116,C3
MP_MalKopp1.1_B3_1_F__10.tif,102,E1
MP_MalKopp1.1_B3_1_F__10.tif,95,E2
MP_MalKopp1.1_B3_1_F__10.tif,81,F1
MP_MalKopp1.1_B3_1_F__10.tif,86,F2
MP_MalKopp1.1_B3_1_F__10.tif,110,F3
MP_MalKopp1.1_B3_1_F__10.tif,114,G1
MP_MalKopp1.1_B3_1_F__10.tif,65,G2
MP_MalKopp1.1_B3_1_F__10.tif,115,G3
MP_MalKopp1.1_B3_1_M__01.tif,88,A1
MP_MalKopp1.1_B3_1_M__01.tif,87,A2
MP_MalKopp1.1_B3_1_M__01.tif,84,B1
MP_MalKopp1.1_B3_1_M__01.tif,91,B2
MP_MalKopp1.1_B3_1_M__01.tif,100,B3
MP_MalKopp1.1_B3_1_M__01.tif,83,C1
MP_MalKopp1.1_B3_1_M__01.tif,101,C2
MP_MalKopp1.1_B3_1_M__01.tif,100,C3
MP_MalKopp1.1_B3_1_M__01.tif,103,E1
MP_MalKopp1.1_B3_1_M__01.tif,104,E2
MP_MalKopp1.1_B3_1_M__01.tif,92,F1
MP_MalKopp1.1_B3_1_M__01.tif,97,F2
MP_MalKopp1.1_B3_1_M__01.tif,113,F3
MP_MalKopp1.1_B3_1_M__01.tif,138,G1
MP_MalKopp1.1_B3_1_M__01.tif,89,G2
MP_MalKopp1.1_B3_1_M__01.tif,126,G3
MP_MalKopp1.1_B3_1_M__02.tif,90,A1
MP_MalKopp1.1_B3_1_M__02.tif,83,A2
MP_MalKopp1.1_B3_1_M__02.tif,103,B1
MP_MalKopp1.1_B3_1_M__02.tif,94,B2
MP_MalKopp1.1_B3_1_M__02.tif,103,B3
MP_MalKopp1.1_B3_1_M__02.tif,79,C1
MP_MalKopp1.1_B3_1_M__02.tif,103,C2
MP_MalKopp1.1_B3_1_M__02.tif,112,C3
MP_MalKopp1.1_B3_1_M__02.tif,113,E1
MP_MalKopp1.1_B3_1_M__02.tif,111,E2
MP_MalKopp1.1_B3_1_M__02.tif,104,F1
MP_MalKopp1.1_B3_1_M__02.tif,91,F2
MP_MalKopp1.1_B3_1_M__02.tif,115,F3
MP_MalKopp1.1_B3_1_M__02.tif,143,G1
MP_MalKopp1.1_B3_1_M__02.tif,90,G2
MP_MalKopp1.1_B3_1_M__02.tif,126,G3
MP_MalKopp1.1_B3_1_M__03.tif,94,A1
MP_MalKopp1.1_B3_1_M__03.tif,86,A2
MP_MalKopp1.1_B3_1_M__03.tif,100,B1
MP_MalKopp1.1_B3_1_M__03.tif,96,B2
MP_MalKopp1.1_B3_1_M__03.tif,109,B3
MP_MalKopp1.1_B3_1_M__03.tif,84,C1
MP_MalKopp1.1_B3_1_M__03.tif,99,C2
MP_MalKopp1.1_B3_1_M__03.tif,115,C3
MP_MalKopp1.1_B3_1_M__03.tif,105,E1
MP_MalKopp1.1_B3_1_M__03.tif,99,E2
MP_MalKopp1.1_B3_1_M__03.tif,104,F1
MP_MalKopp1.1_B3_1_M__03.tif,104,F2
MP_MalKopp1.1_B3_1_M__03.tif,116,F3
MP_MalKopp1.1_B3_1_M__03.tif,148,G1
MP_MalKopp1.1_B3_1_M__03.tif,99,G2
MP_MalKopp1.1_B3_1_M__03.tif,107,G3
MP_MalKopp1.1_B3_1_M__04.tif,95,A1
MP_MalKopp1.1_B3_1_M__04.tif,76,A2
MP_MalKopp1.1_B3_1_M__04.tif,93,B1
MP_MalKopp1.1_B3_1_M__04.tif,96,B2
MP_MalKopp1.1_B3_1_M__04.tif,112,B3
MP_MalKopp1.1_B3_1_M__04.tif,83,C1
MP_MalKopp1.1_B3_1_M__04.tif,109,C2
MP_MalKopp1.1_B3_1_M__04.tif,123,C3
MP_MalKopp1.1_B3_1_M__04.tif,96,E1
MP_MalKopp1.1_B3_1_M__04.tif,94,E2
MP_MalKopp1.1_B3_1_M__04.tif,102,F1
MP_MalKopp1.1_B3_1_M__04.tif,111,F2
MP_MalKopp1.1_B3_1_M__04.tif,131,F3
MP_MalKopp1.1_B3_1_M__04.tif,126,G1
MP_MalKopp1.1_B3_1_M__04.tif,98,G2
MP_MalKopp1.1_B3_1_M__04.tif,122,G3
MP_MalKopp1.1_B3_1_M__05.tif,81,A1
MP_MalKopp1.1_B3_1_M__05.tif,74,A2
MP_MalKopp1.1_B3_1_M__05.tif,94,B1
MP_MalKopp1.1_B3_1_M__05.tif,89,B2
MP_MalKopp1.1_B3_1_M__05.tif,104,B3
MP_MalKopp1.1_B3_1_M__05.tif,81,C1
MP_MalKopp1.1_B3_1_M__05.tif,98,C2
MP_MalKopp1.1_B3_1_M__05.tif,134,C3
MP_MalKopp1.1_B3_1_M__05.tif,94,E1
MP_MalKopp1.1_B3_1_M__05.tif,100,E2
MP_MalKopp1.1_B3_1_M__05.tif,106,F1
MP_MalKopp1.1_B3_1_M__05.tif,96,F2
MP_MalKopp1.1_B3_1_M__05.tif,110,F3
MP_MalKopp1.1_B3_1_M__05.tif,142,G1
MP_MalKopp1.1_B3_1_M__05.tif,93,G2
MP_MalKopp1.1_B3_1_M__05.tif,126,G3
MP_MalKopp1.1_B3_1_M__06.tif,82,A1
MP_MalKopp1.1_B3_1_M__06.tif,74,A2
MP_MalKopp1.1_B3_1_M__06.tif,83,B1
MP_MalKopp1.1_B3_1_M__06.tif,107,B2
MP_MalKopp1.1_B3_1_M__06.tif,95,B3
