Label,Count,Wing_Area,Notes
MP_OreRab1.1_B2_1_M__01.tif,65,A1,
MP_OreRab1.1_B2_1_M__01.tif,77,A2,
MP_OreRab1.1_B2_1_M__01.tif,82,B1,
MP_OreRab1.1_B2_1_M__01.tif,70,B2,
MP_OreRab1.1_B2_1_M__01.tif,80,B3,
MP_OreRab1.1_B2_1_M__01.tif,45,C1,black spots
MP_OreRab1.1_B2_1_M__01.tif,76,C2,
MP_OreRab1.1_B2_1_M__01.tif,83,C3,
MP_OreRab1.1_B2_1_M__01.tif,20,E1,black spots
MP_OreRab1.1_B2_1_M__01.tif,35,E2,black spots
MP_OreRab1.1_B2_1_M__01.tif,32,F1,black spots
MP_OreRab1.1_B2_1_M__01.tif,76,F2,
MP_OreRab1.1_B2_1_M__01.tif,83,F3,
MP_OreRab1.1_B2_1_M__01.tif,36,G1,black spots
MP_OreRab1.1_B2_1_M__01.tif,40,G2,black spots
MP_OreRab1.1_B2_1_M__01.tif,45,G3,black spots
MP_OreRab1.1_B2_1_M__02.tif,66,A1,
MP_OreRab1.1_B2_1_M__02.tif,66,A2,
MP_OreRab1.1_B2_1_M__02.tif,87,B1,
MP_OreRab1.1_B2_1_M__02.tif,78,B2,
MP_OreRab1.1_B2_1_M__02.tif,77,B3,
MP_OreRab1.1_B2_1_M__02.tif,84,C1,
MP_OreRab1.1_B2_1_M__02.tif,86,C2,
MP_OreRab1.1_B2_1_M__02.tif,94,C3,
MP_OreRab1.1_B2_1_M__02.tif,99,E1,
MP_OreRab1.1_B2_1_M__02.tif,89,E2,
MP_OreRab1.1_B2_1_M__02.tif,93,F1,
MP_OreRab1.1_B2_1_M__02.tif,89,F2,
MP_OreRab1.1_B2_1_M__02.tif,93,F3,
MP_OreRab1.1_B2_1_M__02.tif,116,G1,
MP_OreRab1.1_B2_1_M__02.tif,74,G2,
MP_OreRab1.1_B2_1_M__02.tif,115,G3,
MP_OreRab1.1_B2_1_M__03.tif,65,A1,
MP_OreRab1.1_B2_1_M__03.tif,69,A2,
MP_OreRab1.1_B2_1_M__03.tif,75,B1,
MP_OreRab1.1_B2_1_M__03.tif,63,B2,
MP_OreRab1.1_B2_1_M__03.tif,80,B3,
MP_OreRab1.1_B2_1_M__03.tif,76,C1,
MP_OreRab1.1_B2_1_M__03.tif,93,C2,
MP_OreRab1.1_B2_1_M__03.tif,93,C3,
MP_OreRab1.1_B2_1_M__03.tif,94,E1,
MP_OreRab1.1_B2_1_M__03.tif,97,E2,
MP_OreRab1.1_B2_1_M__03.tif,89,F1,
MP_OreRab1.1_B2_1_M__03.tif,97,F2,
MP_OreRab1.1_B2_1_M__03.tif,98,F3,
MP_OreRab1.1_B2_1_M__03.tif,114,G1,
MP_OreRab1.1_B2_1_M__03.tif,77,G2,
MP_OreRab1.1_B2_1_M__03.tif,105,G3,
MP_OreRab1.1_B2_1_M__04.tif,67,A1,
MP_OreRab1.1_B2_1_M__04.tif,59,A2,
MP_OreRab1.1_B2_1_M__04.tif,77,B1,
MP_OreRab1.1_B2_1_M__04.tif,74,B2,
MP_OreRab1.1_B2_1_M__04.tif,81,B3,
MP_OreRab1.1_B2_1_M__04.tif,81,C1,
MP_OreRab1.1_B2_1_M__04.tif,89,C2,
MP_OreRab1.1_B2_1_M__04.tif,86,C3,
MP_OreRab1.1_B2_1_M__04.tif,86,E1,
MP_OreRab1.1_B2_1_M__04.tif,95,E2,
MP_OreRab1.1_B2_1_M__04.tif,88,F1,
MP_OreRab1.1_B2_1_M__04.tif,102,F2,
MP_OreRab1.1_B2_1_M__04.tif,99,F3,
MP_OreRab1.1_B2_1_M__04.tif,126,G1,
MP_OreRab1.1_B2_1_M__04.tif,78,G2,
MP_OreRab1.1_B2_1_M__04.tif,107,G3,
MP_OreRab1.1_B2_2_F__01.tif,58,A1,
MP_OreRab1.1_B2_2_F__01.tif,56,A2,
MP_OreRab1.1_B2_2_F__01.tif,67,B1,
MP_OreRab1.1_B2_2_F__01.tif,61,B2,
MP_OreRab1.1_B2_2_F__01.tif,64,B3,
MP_OreRab1.1_B2_2_F__01.tif,62,C1,
MP_OreRab1.1_B2_2_F__01.tif,73,C2,
MP_OreRab1.1_B2_2_F__01.tif,80,C3,
MP_OreRab1.1_B2_2_F__01.tif,76,E1,
MP_OreRab1.1_B2_2_F__01.tif,83,E2,
MP_OreRab1.1_B2_2_F__01.tif,80,F1,
MP_OreRab1.1_B2_2_F__01.tif,82,F2,
MP_OreRab1.1_B2_2_F__01.tif,66,F3,
MP_OreRab1.1_B2_2_F__01.tif,98,G1,
MP_OreRab1.1_B2_2_F__01.tif,62,G2,
MP_OreRab1.1_B2_2_F__01.tif,93,G3,
MP_OreRab1.1_B2_2_M__01.tif,67,A1,
MP_OreRab1.1_B2_2_M__01.tif,52,A2,
MP_OreRab1.1_B2_2_M__01.tif,80,B1,
MP_OreRab1.1_B2_2_M__01.tif,69,B2,
MP_OreRab1.1_B2_2_M__01.tif,84,B3,
MP_OreRab1.1_B2_2_M__01.tif,68,C1,
MP_OreRab1.1_B2_2_M__01.tif,82,C2,
MP_OreRab1.1_B2_2_M__01.tif,82,C3,
MP_OreRab1.1_B2_2_M__01.tif,87,E1,
MP_OreRab1.1_B2_2_M__01.tif,93,E2,
MP_OreRab1.1_B2_2_M__01.tif,97,F1,
MP_OreRab1.1_B2_2_M__01.tif,75,F2,
MP_OreRab1.1_B2_2_M__01.tif,98,F3,
MP_OreRab1.1_B2_2_M__01.tif,102,G1,
MP_OreRab1.1_B2_2_M__01.tif,66,G2,
MP_OreRab1.1_B2_2_M__01.tif,84,G3,
MP_OreRab1.1_B2_3_M__01.tif,66,A1,
MP_OreRab1.1_B2_3_M__01.tif,62,A2,
MP_OreRab1.1_B2_3_M__01.tif,82,B1,
MP_OreRab1.1_B2_3_M__01.tif,85,B2,
MP_OreRab1.1_B2_3_M__01.tif,78,B3,
MP_OreRab1.1_B2_3_M__01.tif,75,C1,
MP_OreRab1.1_B2_3_M__01.tif,82,C2,
MP_OreRab1.1_B2_3_M__01.tif,95,C3,
MP_OreRab1.1_B2_3_M__01.tif,89,E1,
MP_OreRab1.1_B2_3_M__01.tif,94,E2,
MP_OreRab1.1_B2_3_M__01.tif,98,F1,
MP_OreRab1.1_B2_3_M__01.tif,78,F2,
MP_OreRab1.1_B2_3_M__01.tif,95,F3,
MP_OreRab1.1_B2_3_M__01.tif,106,G1,
MP_OreRab1.1_B2_3_M__01.tif,74,G2,
MP_OreRab1.1_B2_3_M__01.tif,107,G3,
