 ,Label,Count
1,MP_BirSC1.1_B2_1_F__01.tif,51
2,MP_BirSC1.1_B2_1_F__01.tif,52
3,MP_BirSC1.1_B2_1_F__01.tif,75
4,MP_BirSC1.1_B2_1_F__01.tif,72
5,MP_BirSC1.1_B2_1_F__01.tif,83
6,MP_BirSC1.1_B2_1_F__01.tif,71
7,MP_BirSC1.1_B2_1_F__01.tif,79
8,MP_BirSC1.1_B2_1_F__01.tif,92
9,MP_BirSC1.1_B2_1_F__01.tif,85
10,MP_BirSC1.1_B2_1_F__01.tif,76
11,MP_BirSC1.1_B2_1_F__01.tif,81
12,MP_BirSC1.1_B2_1_F__01.tif,81
13,MP_BirSC1.1_B2_1_F__01.tif,72
14,MP_BirSC1.1_B2_1_F__01.tif,90
15,MP_BirSC1.1_B2_1_F__01.tif,69
16,MP_BirSC1.1_B2_1_F__01.tif,82
17,MP_BirSC1.1_B2_1_F__02.tif,54
18,MP_BirSC1.1_B2_1_F__02.tif,67
19,MP_BirSC1.1_B2_1_F__02.tif,79
20,MP_BirSC1.1_B2_1_F__02.tif,73
21,MP_BirSC1.1_B2_1_F__02.tif,68
22,MP_BirSC1.1_B2_1_F__02.tif,86
23,MP_BirSC1.1_B2_1_F__02.tif,72
24,MP_BirSC1.1_B2_1_F__02.tif,81
25,MP_BirSC1.1_B2_1_F__02.tif,85
26,MP_BirSC1.1_B2_1_F__02.tif,84
27,MP_BirSC1.1_B2_1_F__02.tif,84
28,MP_BirSC1.1_B2_1_F__02.tif,78
29,MP_BirSC1.1_B2_1_F__02.tif,82
30,MP_BirSC1.1_B2_1_F__02.tif,87
31,MP_BirSC1.1_B2_1_F__02.tif,73
32,MP_BirSC1.1_B2_1_F__02.tif,85
33,MP_BirSC1.1_B2_1_F__03.tif,70
34,MP_BirSC1.1_B2_1_F__03.tif,92
35,MP_BirSC1.1_B2_1_F__03.tif,102
36,MP_BirSC1.1_B2_1_F__03.tif,88
37,MP_BirSC1.1_B2_1_F__03.tif,75
38,MP_BirSC1.1_B2_1_F__03.tif,73
39,MP_BirSC1.1_B2_1_F__03.tif,79
40,MP_BirSC1.1_B2_1_F__03.tif,78
41,MP_BirSC1.1_B2_1_F__03.tif,96
42,MP_BirSC1.1_B2_1_F__03.tif,77
43,MP_BirSC1.1_B2_1_F__03.tif,84
44,MP_BirSC1.1_B2_1_F__03.tif,87
45,MP_BirSC1.1_B2_1_F__03.tif,87
46,MP_BirSC1.1_B2_1_F__03.tif,110
47,MP_BirSC1.1_B2_1_F__03.tif,69
48,MP_BirSC1.1_B2_1_F__03.tif,92
49,MP_BirSC1.1_B2_1_F__04.tif,62
50,MP_BirSC1.1_B2_1_F__04.tif,64
51,MP_BirSC1.1_B2_1_F__04.tif,79
52,MP_BirSC1.1_B2_1_F__04.tif,71
53,MP_BirSC1.1_B2_1_F__04.tif,76
54,MP_BirSC1.1_B2_1_F__04.tif,66
55,MP_BirSC1.1_B2_1_F__04.tif,76
56,MP_BirSC1.1_B2_1_F__04.tif,76
57,MP_BirSC1.1_B2_1_F__04.tif,75
58,MP_BirSC1.1_B2_1_F__04.tif,74
59,MP_BirSC1.1_B2_1_F__04.tif,79
60,MP_BirSC1.1_B2_1_F__04.tif,78
61,MP_BirSC1.1_B2_1_F__04.tif,85
62,MP_BirSC1.1_B2_1_F__04.tif,83
63,MP_BirSC1.1_B2_1_F__04.tif,85
64,MP_BirSC1.1_B2_1_F__04.tif,93
65,MP_BirSC1.1_B2_1_F__05.tif,167
66,MP_BirSC1.1_B2_1_F__05.tif,164
67,MP_BirSC1.1_B2_1_F__05.tif,148
68,MP_BirSC1.1_B2_1_F__05.tif,141
69,MP_BirSC1.1_B2_1_F__05.tif,144
70,MP_BirSC1.1_B2_1_F__05.tif,126
71,MP_BirSC1.1_B2_1_F__05.tif,113
72,MP_BirSC1.1_B2_1_F__05.tif,133
73,MP_BirSC1.1_B2_1_F__05.tif,151
74,MP_BirSC1.1_B2_1_F__05.tif,143
75,MP_BirSC1.1_B2_1_F__05.tif,122
76,MP_BirSC1.1_B2_1_F__05.tif,126
77,MP_BirSC1.1_B2_1_F__05.tif,136
78,MP_BirSC1.1_B2_1_F__05.tif,74
79,MP_BirSC1.1_B2_1_F__05.tif,87
80,MP_BirSC1.1_B2_1_F__05.tif,118
81,MP_BirSC1.1_B2_1_F__06.tif,53
82,MP_BirSC1.1_B2_1_F__06.tif,64
83,MP_BirSC1.1_B2_1_F__06.tif,84
84,MP_BirSC1.1_B2_1_F__06.tif,68
85,MP_BirSC1.1_B2_1_F__06.tif,75
86,MP_BirSC1.1_B2_1_F__06.tif,83
87,MP_BirSC1.1_B2_1_F__06.tif,74
88,MP_BirSC1.1_B2_1_F__06.tif,90
89,MP_BirSC1.1_B2_1_F__06.tif,75
90,MP_BirSC1.1_B2_1_F__06.tif,78
91,MP_BirSC1.1_B2_1_F__06.tif,77
92,MP_BirSC1.1_B2_1_F__06.tif,77
93,MP_BirSC1.1_B2_1_F__06.tif,87
94,MP_BirSC1.1_B2_1_F__06.tif,76
95,MP_BirSC1.1_B2_1_F__06.tif,78
96,MP_BirSC1.1_B2_1_F__06.tif,84
97,MP_BirSC1.1_B2_1_F__07.tif,67
98,MP_BirSC1.1_B2_1_F__07.tif,60
99,MP_BirSC1.1_B2_1_F__07.tif,88
100,MP_BirSC1.1_B2_1_F__07.tif,71
101,MP_BirSC1.1_B2_1_F__07.tif,89
102,MP_BirSC1.1_B2_1_F__07.tif,73
103,MP_BirSC1.1_B2_1_F__07.tif,81
104,MP_BirSC1.1_B2_1_F__07.tif,79
105,MP_BirSC1.1_B2_1_F__07.tif,84
106,MP_BirSC1.1_B2_1_F__07.tif,83
107,MP_BirSC1.1_B2_1_F__07.tif,80
108,MP_BirSC1.1_B2_1_F__07.tif,77
109,MP_BirSC1.1_B2_1_F__07.tif,93
110,MP_BirSC1.1_B2_1_F__07.tif,98
111,MP_BirSC1.1_B2_1_F__07.tif,72
112,MP_BirSC1.1_B2_1_F__07.tif,90
113,MP_BirSC1.1_B2_1_F__08.tif,59
114,MP_BirSC1.1_B2_1_F__08.tif,65
115,MP_BirSC1.1_B2_1_F__08.tif,75
116,MP_BirSC1.1_B2_1_F__08.tif,71
117,MP_BirSC1.1_B2_1_F__08.tif,67
118,MP_BirSC1.1_B2_1_F__08.tif,77
119,MP_BirSC1.1_B2_1_F__08.tif,66
120,MP_BirSC1.1_B2_1_F__08.tif,72
121,MP_BirSC1.1_B2_1_F__08.tif,76
122,MP_BirSC1.1_B2_1_F__08.tif,85
123,MP_BirSC1.1_B2_1_F__08.tif,82
