 ,Label,Count
1,MP_FuyKopp1.1_B2_1_F__01.tif,61
2,MP_FuyKopp1.1_B2_1_F__01.tif,60
3,MP_FuyKopp1.1_B2_1_F__01.tif,74
4,MP_FuyKopp1.1_B2_1_F__01.tif,72
5,MP_FuyKopp1.1_B2_1_F__01.tif,86
6,MP_FuyKopp1.1_B2_1_F__01.tif,79
7,MP_FuyKopp1.1_B2_1_F__01.tif,76
8,MP_FuyKopp1.1_B2_1_F__01.tif,106
9,MP_FuyKopp1.1_B2_1_F__01.tif,96
10,MP_FuyKopp1.1_B2_1_F__01.tif,83
11,MP_FuyKopp1.1_B2_1_F__01.tif,77
12,MP_FuyKopp1.1_B2_1_F__01.tif,90
13,MP_FuyKopp1.1_B2_1_F__01.tif,117
14,MP_FuyKopp1.1_B2_1_F__01.tif,62
15,MP_FuyKopp1.1_B2_1_F__01.tif,74
16,MP_FuyKopp1.1_B2_1_F__01.tif,107
17,MP_FuyKopp1.1_B2_1_F__02.tif,76
18,MP_FuyKopp1.1_B2_1_F__02.tif,76
19,MP_FuyKopp1.1_B2_1_F__02.tif,83
20,MP_FuyKopp1.1_B2_1_F__02.tif,90
21,MP_FuyKopp1.1_B2_1_F__02.tif,102
22,MP_FuyKopp1.1_B2_1_F__02.tif,101
23,MP_FuyKopp1.1_B2_1_F__02.tif,94
24,MP_FuyKopp1.1_B2_1_F__02.tif,120
25,MP_FuyKopp1.1_B2_1_F__02.tif,105
26,MP_FuyKopp1.1_B2_1_F__02.tif,101
27,MP_FuyKopp1.1_B2_1_F__02.tif,104
28,MP_FuyKopp1.1_B2_1_F__02.tif,116
29,MP_FuyKopp1.1_B2_1_F__02.tif,108
30,MP_FuyKopp1.1_B2_1_F__02.tif,73
31,MP_FuyKopp1.1_B2_1_F__02.tif,82
32,MP_FuyKopp1.1_B2_1_F__02.tif,116
33,MP_FuyKopp1.1_B2_1_F__03.tif,65
34,MP_FuyKopp1.1_B2_1_F__03.tif,55
35,MP_FuyKopp1.1_B2_1_F__03.tif,69
36,MP_FuyKopp1.1_B2_1_F__03.tif,71
37,MP_FuyKopp1.1_B2_1_F__03.tif,93
38,MP_FuyKopp1.1_B2_1_F__03.tif,75
39,MP_FuyKopp1.1_B2_1_F__03.tif,70
40,MP_FuyKopp1.1_B2_1_F__03.tif,92
41,MP_FuyKopp1.1_B2_1_F__03.tif,82
42,MP_FuyKopp1.1_B2_1_F__03.tif,79
43,MP_FuyKopp1.1_B2_1_F__03.tif,76
44,MP_FuyKopp1.1_B2_1_F__03.tif,98
45,MP_FuyKopp1.1_B2_1_F__03.tif,101
46,MP_FuyKopp1.1_B2_1_F__03.tif,67
47,MP_FuyKopp1.1_B2_1_F__03.tif,67
48,MP_FuyKopp1.1_B2_1_F__03.tif,102
49,MP_FuyKopp1.1_B2_1_M__01.tif,77
50,MP_FuyKopp1.1_B2_1_M__01.tif,65
51,MP_FuyKopp1.1_B2_1_M__01.tif,92
52,MP_FuyKopp1.1_B2_1_M__01.tif,78
53,MP_FuyKopp1.1_B2_1_M__01.tif,84
54,MP_FuyKopp1.1_B2_1_M__01.tif,70
55,MP_FuyKopp1.1_B2_1_M__01.tif,95
56,MP_FuyKopp1.1_B2_1_M__01.tif,120
57,MP_FuyKopp1.1_B2_1_M__01.tif,106
58,MP_FuyKopp1.1_B2_1_M__01.tif,108
59,MP_FuyKopp1.1_B2_1_M__01.tif,110
60,MP_FuyKopp1.1_B2_1_M__01.tif,114
61,MP_FuyKopp1.1_B2_1_M__01.tif,121
62,MP_FuyKopp1.1_B2_1_M__01.tif,79
63,MP_FuyKopp1.1_B2_1_M__01.tif,79
64,MP_FuyKopp1.1_B2_1_M__01.tif,103
65,MP_FuyKopp1.1_B2_1_M__02.tif,76
66,MP_FuyKopp1.1_B2_1_M__02.tif,74
67,MP_FuyKopp1.1_B2_1_M__02.tif,89
68,MP_FuyKopp1.1_B2_1_M__02.tif,79
69,MP_FuyKopp1.1_B2_1_M__02.tif,81
70,MP_FuyKopp1.1_B2_1_M__02.tif,75
71,MP_FuyKopp1.1_B2_1_M__02.tif,86
72,MP_FuyKopp1.1_B2_1_M__02.tif,100
73,MP_FuyKopp1.1_B2_1_M__02.tif,96
74,MP_FuyKopp1.1_B2_1_M__02.tif,89
75,MP_FuyKopp1.1_B2_1_M__02.tif,83
76,MP_FuyKopp1.1_B2_1_M__02.tif,105
77,MP_FuyKopp1.1_B2_1_M__02.tif,114
78,MP_FuyKopp1.1_B2_1_M__02.tif,78
79,MP_FuyKopp1.1_B2_1_M__02.tif,73
80,MP_FuyKopp1.1_B2_1_M__02.tif,115
81,MP_FuyKopp1.1_B2_1_M__03.tif,67
82,MP_FuyKopp1.1_B2_1_M__03.tif,70
83,MP_FuyKopp1.1_B2_1_M__03.tif,83
84,MP_FuyKopp1.1_B2_1_M__03.tif,87
85,MP_FuyKopp1.1_B2_1_M__03.tif,95
86,MP_FuyKopp1.1_B2_1_M__03.tif,82
87,MP_FuyKopp1.1_B2_1_M__03.tif,86
88,MP_FuyKopp1.1_B2_1_M__03.tif,101
89,MP_FuyKopp1.1_B2_1_M__03.tif,96
90,MP_FuyKopp1.1_B2_1_M__03.tif,103
91,MP_FuyKopp1.1_B2_1_M__03.tif,87
92,MP_FuyKopp1.1_B2_1_M__03.tif,109
93,MP_FuyKopp1.1_B2_1_M__03.tif,118
94,MP_FuyKopp1.1_B2_1_M__03.tif,90
95,MP_FuyKopp1.1_B2_1_M__03.tif,78
96,MP_FuyKopp1.1_B2_1_M__03.tif,113
97,MP_FuyKopp1.1_B2_1_M__04.tif,71
98,MP_FuyKopp1.1_B2_1_M__04.tif,64
99,MP_FuyKopp1.1_B2_1_M__04.tif,75
100,MP_FuyKopp1.1_B2_1_M__04.tif,76
101,MP_FuyKopp1.1_B2_1_M__04.tif,91
102,MP_FuyKopp1.1_B2_1_M__04.tif,71
103,MP_FuyKopp1.1_B2_1_M__04.tif,87
104,MP_FuyKopp1.1_B2_1_M__04.tif,96
105,MP_FuyKopp1.1_B2_1_M__04.tif,86
106,MP_FuyKopp1.1_B2_1_M__04.tif,97
107,MP_FuyKopp1.1_B2_1_M__04.tif,90
108,MP_FuyKopp1.1_B2_1_M__04.tif,94
109,MP_FuyKopp1.1_B2_1_M__04.tif,116
110,MP_FuyKopp1.1_B2_1_M__04.tif,90
111,MP_FuyKopp1.1_B2_1_M__04.tif,72
112,MP_FuyKopp1.1_B2_1_M__04.tif,116
113,MP_FuyKopp1.1_B2_1_M__05.tif,71
114,MP_FuyKopp1.1_B2_1_M__05.tif,71
115,MP_FuyKopp1.1_B2_1_M__05.tif,72
116,MP_FuyKopp1.1_B2_1_M__05.tif,76
117,MP_FuyKopp1.1_B2_1_M__05.tif,96
118,MP_FuyKopp1.1_B2_1_M__05.tif,80
119,MP_FuyKopp1.1_B2_1_M__05.tif,81
120,MP_FuyKopp1.1_B2_1_M__05.tif,112
121,MP_FuyKopp1.1_B2_1_M__05.tif,101
122,MP_FuyKopp1.1_B2_1_M__05.tif,98
123,MP_FuyKopp1.1_B2_1_M__05.tif,85
124,MP_FuyKopp1.1_B2_1_M__05.tif,115
125,MP_FuyKopp1.1_B2_1_M__05.tif,124
126,MP_FuyKopp1.1_B2_1_M__05.tif,85
127,MP_FuyKopp1.1_B2_1_M__05.tif,66
128,MP_FuyKopp1.1_B2_1_M__05.tif,105
129,MP_FuyKopp1.1_B2_2_F__01.tif,57
130,MP_FuyKopp1.1_B2_2_F__01.tif,85
131,MP_FuyKopp1.1_B2_2_F__01.tif,74
132,MP_FuyKopp1.1_B2_2_F__01.tif,82
133,MP_FuyKopp1.1_B2_2_F__01.tif,79
134,MP_FuyKopp1.1_B2_2_F__01.tif,77
135,MP_FuyKopp1.1_B2_2_F__01.tif,77
136,MP_FuyKopp1.1_B2_2_F__01.tif,108
137,MP_FuyKopp1.1_B2_2_F__01.tif,86
138,MP_FuyKopp1.1_B2_2_F__01.tif,92
139,MP_FuyKopp1.1_B2_2_F__01.tif,85
140,MP_FuyKopp1.1_B2_2_F__01.tif,92
141,MP_FuyKopp1.1_B2_2_F__01.tif,101
142,MP_FuyKopp1.1_B2_2_F__01.tif,75
143,MP_FuyKopp1.1_B2_2_F__01.tif,66
144,MP_FuyKopp1.1_B2_2_F__01.tif,90
145,MP_FuyKopp1.1_B2_2_F__02.tif,52
146,MP_FuyKopp1.1_B2_2_F__02.tif,70
147,MP_FuyKopp1.1_B2_2_F__02.tif,70
148,MP_FuyKopp1.1_B2_2_F__02.tif,80
149,MP_FuyKopp1.1_B2_2_F__02.tif,87
150,MP_FuyKopp1.1_B2_2_F__02.tif,75
151,MP_FuyKopp1.1_B2_2_F__02.tif,87
152,MP_FuyKopp1.1_B2_2_F__02.tif,100
153,MP_FuyKopp1.1_B2_2_F__02.tif,76
154,MP_FuyKopp1.1_B2_2_F__02.tif,92
155,MP_FuyKopp1.1_B2_2_F__02.tif,83
156,MP_FuyKopp1.1_B2_2_F__02.tif,98
157,MP_FuyKopp1.1_B2_2_F__02.tif,95
158,MP_FuyKopp1.1_B2_2_F__02.tif,83
159,MP_FuyKopp1.1_B2_2_F__02.tif,54
160,MP_FuyKopp1.1_B2_2_F__02.tif,111
161,MP_FuyKopp1.1_B2_2_F__03.tif,58
162,MP_FuyKopp1.1_B2_2_F__03.tif,60
163,MP_FuyKopp1.1_B2_2_F__03.tif,77
164,MP_FuyKopp1.1_B2_2_F__03.tif,73
165,MP_FuyKopp1.1_B2_2_F__03.tif,82
166,MP_FuyKopp1.1_B2_2_F__03.tif,72
167,MP_FuyKopp1.1_B2_2_F__03.tif,82
168,MP_FuyKopp1.1_B2_2_F__03.tif,88
169,MP_FuyKopp1.1_B2_2_F__03.tif,77
170,MP_FuyKopp1.1_B2_2_F__03.tif,79
171,MP_FuyKopp1.1_B2_2_F__03.tif,95
172,MP_FuyKopp1.1_B2_2_F__03.tif,96
173,MP_FuyKopp1.1_B2_2_F__03.tif,103
174,MP_FuyKopp1.1_B2_2_F__03.tif,73
175,MP_FuyKopp1.1_B2_2_F__03.tif,55
176,MP_FuyKopp1.1_B2_2_F__03.tif,102
177,MP_FuyKopp1.1_B2_2_F__04.tif,72
178,MP_FuyKopp1.1_B2_2_F__04.tif,69
179,MP_FuyKopp1.1_B2_2_F__04.tif,73
180,MP_FuyKopp1.1_B2_2_F__04.tif,96
181,MP_FuyKopp1.1_B2_2_F__04.tif,74
182,MP_FuyKopp1.1_B2_2_F__04.tif,75
183,MP_FuyKopp1.1_B2_2_F__04.tif,82
184,MP_FuyKopp1.1_B2_2_F__04.tif,104
185,MP_FuyKopp1.1_B2_2_F__04.tif,94
186,MP_FuyKopp1.1_B2_2_F__04.tif,97
187,MP_FuyKopp1.1_B2_2_F__04.tif,96
188,MP_FuyKopp1.1_B2_2_F__04.tif,97
189,MP_FuyKopp1.1_B2_2_F__04.tif,103
190,MP_FuyKopp1.1_B2_2_F__04.tif,91
191,MP_FuyKopp1.1_B2_2_F__04.tif,72
192,MP_FuyKopp1.1_B2_2_F__04.tif,113
193,MP_FuyKopp1.1_B2_2_F__05.tif,59
194,MP_FuyKopp1.1_B2_2_F__05.tif,71
