 ,Label,Count
1,MP_SuzC4.3_B1_1_F__01.tif,45
2,MP_SuzC4.3_B1_1_F__01.tif,35
3,MP_SuzC4.3_B1_1_F__01.tif,48
4,MP_SuzC4.3_B1_1_F__01.tif,53
5,MP_SuzC4.3_B1_1_F__01.tif,85
6,MP_SuzC4.3_B1_1_F__01.tif,50
7,MP_SuzC4.3_B1_1_F__01.tif,60
8,MP_SuzC4.3_B1_1_F__01.tif,65
9,MP_SuzC4.3_B1_1_F__01.tif,38
10,MP_SuzC4.3_B1_1_F__01.tif,49
11,MP_SuzC4.3_B1_1_F__01.tif,45
12,MP_SuzC4.3_B1_1_F__01.tif,59
13,MP_SuzC4.3_B1_1_F__01.tif,77
14,MP_SuzC4.3_B1_1_F__01.tif,59
15,MP_SuzC4.3_B1_1_F__01.tif,57
16,MP_SuzC4.3_B1_1_F__01.tif,56
17,MP_SuzC4.3_B1_1_F__02.tif,65
18,MP_SuzC4.3_B1_1_F__02.tif,65
19,MP_SuzC4.3_B1_1_F__02.tif,68
20,MP_SuzC4.3_B1_1_F__02.tif,54
21,MP_SuzC4.3_B1_1_F__02.tif,100
22,MP_SuzC4.3_B1_1_F__02.tif,62
23,MP_SuzC4.3_B1_1_F__02.tif,67
24,MP_SuzC4.3_B1_1_F__02.tif,85
25,MP_SuzC4.3_B1_1_F__02.tif,66
26,MP_SuzC4.3_B1_1_F__02.tif,67
27,MP_SuzC4.3_B1_1_F__02.tif,68
28,MP_SuzC4.3_B1_1_F__02.tif,75
29,MP_SuzC4.3_B1_1_F__02.tif,106
30,MP_SuzC4.3_B1_1_F__02.tif,82
31,MP_SuzC4.3_B1_1_F__02.tif,77
32,MP_SuzC4.3_B1_1_F__02.tif,84
33,MP_SuzC4.3_B1_1_F__03.tif,58
34,MP_SuzC4.3_B1_1_F__03.tif,55
35,MP_SuzC4.3_B1_1_F__03.tif,60
36,MP_SuzC4.3_B1_1_F__03.tif,54
37,MP_SuzC4.3_B1_1_F__03.tif,69
38,MP_SuzC4.3_B1_1_F__03.tif,57
39,MP_SuzC4.3_B1_1_F__03.tif,58
40,MP_SuzC4.3_B1_1_F__03.tif,115
41,MP_SuzC4.3_B1_1_F__03.tif,70
42,MP_SuzC4.3_B1_1_F__03.tif,71
43,MP_SuzC4.3_B1_1_F__03.tif,69
44,MP_SuzC4.3_B1_1_F__03.tif,85
45,MP_SuzC4.3_B1_1_F__03.tif,100
46,MP_SuzC4.3_B1_1_F__03.tif,74
47,MP_SuzC4.3_B1_1_F__03.tif,63
48,MP_SuzC4.3_B1_1_F__03.tif,105
49,MP_SuzC4.3_B1_1_F__04.tif,55
50,MP_SuzC4.3_B1_1_F__04.tif,57
51,MP_SuzC4.3_B1_1_F__04.tif,62
52,MP_SuzC4.3_B1_1_F__04.tif,68
53,MP_SuzC4.3_B1_1_F__04.tif,64
54,MP_SuzC4.3_B1_1_F__04.tif,60
55,MP_SuzC4.3_B1_1_F__04.tif,63
56,MP_SuzC4.3_B1_1_F__04.tif,54
57,MP_SuzC4.3_B1_1_F__04.tif,76
58,MP_SuzC4.3_B1_1_F__04.tif,78
59,MP_SuzC4.3_B1_1_F__04.tif,80
60,MP_SuzC4.3_B1_1_F__04.tif,65
61,MP_SuzC4.3_B1_1_F__04.tif,79
62,MP_SuzC4.3_B1_1_F__04.tif,72
63,MP_SuzC4.3_B1_1_F__04.tif,67
64,MP_SuzC4.3_B1_1_F__04.tif,108
65,MP_SuzC4.3_B1_1_F__05.tif,51
66,MP_SuzC4.3_B1_1_F__05.tif,60
67,MP_SuzC4.3_B1_1_F__05.tif,62
68,MP_SuzC4.3_B1_1_F__05.tif,58
69,MP_SuzC4.3_B1_1_F__05.tif,70
70,MP_SuzC4.3_B1_1_F__05.tif,61
71,MP_SuzC4.3_B1_1_F__05.tif,70
72,MP_SuzC4.3_B1_1_F__05.tif,80
73,MP_SuzC4.3_B1_1_F__05.tif,79
74,MP_SuzC4.3_B1_1_F__05.tif,73
75,MP_SuzC4.3_B1_1_F__05.tif,73
76,MP_SuzC4.3_B1_1_F__05.tif,86
77,MP_SuzC4.3_B1_1_F__05.tif,80
78,MP_SuzC4.3_B1_1_F__05.tif,68
79,MP_SuzC4.3_B1_1_F__05.tif,60
80,MP_SuzC4.3_B1_1_F__05.tif,97
81,MP_SuzC4.3_B1_1_F__06.tif,51
82,MP_SuzC4.3_B1_1_F__06.tif,42
83,MP_SuzC4.3_B1_1_F__06.tif,61
84,MP_SuzC4.3_B1_1_F__06.tif,62
85,MP_SuzC4.3_B1_1_F__06.tif,83
86,MP_SuzC4.3_B1_1_F__06.tif,57
87,MP_SuzC4.3_B1_1_F__06.tif,77
88,MP_SuzC4.3_B1_1_F__06.tif,89
89,MP_SuzC4.3_B1_1_F__06.tif,74
90,MP_SuzC4.3_B1_1_F__06.tif,69
91,MP_SuzC4.3_B1_1_F__06.tif,69
92,MP_SuzC4.3_B1_1_F__06.tif,82
93,MP_SuzC4.3_B1_1_F__06.tif,99
94,MP_SuzC4.3_B1_1_F__06.tif,61
95,MP_SuzC4.3_B1_1_F__06.tif,63
96,MP_SuzC4.3_B1_1_F__06.tif,111
97,MP_SuzC4.3_B1_1_F__07.tif,50
98,MP_SuzC4.3_B1_1_F__07.tif,53
99,MP_SuzC4.3_B1_1_F__07.tif,60
100,MP_SuzC4.3_B1_1_F__07.tif,68
101,MP_SuzC4.3_B1_1_F__07.tif,95
102,MP_SuzC4.3_B1_1_F__07.tif,60
103,MP_SuzC4.3_B1_1_F__07.tif,72
104,MP_SuzC4.3_B1_1_F__07.tif,96
105,MP_SuzC4.3_B1_1_F__07.tif,78
106,MP_SuzC4.3_B1_1_F__07.tif,76
107,MP_SuzC4.3_B1_1_F__07.tif,76
108,MP_SuzC4.3_B1_1_F__07.tif,75
109,MP_SuzC4.3_B1_1_F__07.tif,100
110,MP_SuzC4.3_B1_1_F__07.tif,66
111,MP_SuzC4.3_B1_1_F__07.tif,66
112,MP_SuzC4.3_B1_1_F__07.tif,103
113,MP_SuzC4.3_B1_1_F__08.tif,46
114,MP_SuzC4.3_B1_1_F__08.tif,50
115,MP_SuzC4.3_B1_1_F__08.tif,54
116,MP_SuzC4.3_B1_1_F__08.tif,64
117,MP_SuzC4.3_B1_1_F__08.tif,91
118,MP_SuzC4.3_B1_1_F__08.tif,54
119,MP_SuzC4.3_B1_1_F__08.tif,71
120,MP_SuzC4.3_B1_1_F__08.tif,95
121,MP_SuzC4.3_B1_1_F__08.tif,60
122,MP_SuzC4.3_B1_1_F__08.tif,72
123,MP_SuzC4.3_B1_1_F__08.tif,72
124,MP_SuzC4.3_B1_1_F__08.tif,89
125,MP_SuzC4.3_B1_1_F__08.tif,99
126,MP_SuzC4.3_B1_1_F__08.tif,65
127,MP_SuzC4.3_B1_1_F__08.tif,57
128,MP_SuzC4.3_B1_1_F__08.tif,99
129,MP_SuzC4.3_B1_1_F__09.tif,46
130,MP_SuzC4.3_B1_1_F__09.tif,53
131,MP_SuzC4.3_B1_1_F__09.tif,66
132,MP_SuzC4.3_B1_1_F__09.tif,64
133,MP_SuzC4.3_B1_1_F__09.tif,88
134,MP_SuzC4.3_B1_1_F__09.tif,63
135,MP_SuzC4.3_B1_1_F__09.tif,70
136,MP_SuzC4.3_B1_1_F__09.tif,87
137,MP_SuzC4.3_B1_1_F__09.tif,62
138,MP_SuzC4.3_B1_1_F__09.tif,68
139,MP_SuzC4.3_B1_1_F__09.tif,67
140,MP_SuzC4.3_B1_1_F__09.tif,83
141,MP_SuzC4.3_B1_1_F__09.tif,93
142,MP_SuzC4.3_B1_1_F__09.tif,66
143,MP_SuzC4.3_B1_1_F__09.tif,54
144,MP_SuzC4.3_B1_1_F__09.tif,94
145,MP_SuzC4.3_B1_1_F__10.tif,58
146,MP_SuzC4.3_B1_1_F__10.tif,44
147,MP_SuzC4.3_B1_1_F__10.tif,75
148,MP_SuzC4.3_B1_1_F__10.tif,60
149,MP_SuzC4.3_B1_1_F__10.tif,71
150,MP_SuzC4.3_B1_1_F__10.tif,65
151,MP_SuzC4.3_B1_1_F__10.tif,76
152,MP_SuzC4.3_B1_1_F__10.tif,100
153,MP_SuzC4.3_B1_1_F__10.tif,73
154,MP_SuzC4.3_B1_1_F__10.tif,76
155,MP_SuzC4.3_B1_1_F__10.tif,73
156,MP_SuzC4.3_B1_1_F__10.tif,95
157,MP_SuzC4.3_B1_1_F__10.tif,100
158,MP_SuzC4.3_B1_1_F__10.tif,70
159,MP_SuzC4.3_B1_1_F__10.tif,69
160,MP_SuzC4.3_B1_1_F__10.tif,103
161,MP_SuzC4.3_B1_1_F_2X_01.tif,155
162,MP_SuzC4.3_B1_1_F_2X_01.tif,150
163,MP_SuzC4.3_B1_1_F_2X_01.tif,154
164,MP_SuzC4.3_B1_1_F_2X_01.tif,156
165,MP_SuzC4.3_B1_1_F_2X_01.tif,174
166,MP_SuzC4.3_B1_1_F_2X_01.tif,152
167,MP_SuzC4.3_B1_1_F_2X_01.tif,158
168,MP_SuzC4.3_B1_1_F_2X_01.tif,183
169,MP_SuzC4.3_B1_1_F_2X_01.tif,149
170,MP_SuzC4.3_B1_1_F_2X_01.tif,159
171,MP_SuzC4.3_B1_1_F_2X_01.tif,142
172,MP_SuzC4.3_B1_1_F_2X_01.tif,167
173,MP_SuzC4.3_B1_1_F_2X_01.tif,170
174,MP_SuzC4.3_B1_1_F_2X_01.tif,150
175,MP_SuzC4.3_B1_1_F_2X_01.tif,139
176,MP_SuzC4.3_B1_1_F_2X_01.tif,159
177,MP_SuzC4.3_B1_1_F_2X_02.tif,163
178,MP_SuzC4.3_B1_1_F_2X_02.tif,134
179,MP_SuzC4.3_B1_1_F_2X_02.tif,151
180,MP_SuzC4.3_B1_1_F_2X_02.tif,153
181,MP_SuzC4.3_B1_1_F_2X_02.tif,141
182,MP_SuzC4.3_B1_1_F_2X_02.tif,165
183,MP_SuzC4.3_B1_1_F_2X_02.tif,165
184,MP_SuzC4.3_B1_1_F_2X_02.tif,164
185,MP_SuzC4.3_B1_1_F_2X_02.tif,181
186,MP_SuzC4.3_B1_1_F_2X_02.tif,168
187,MP_SuzC4.3_B1_1_F_2X_02.tif,184
188,MP_SuzC4.3_B1_1_F_2X_02.tif,187
189,MP_SuzC4.3_B1_1_F_2X_02.tif,172
190,MP_SuzC4.3_B1_1_F_2X_02.tif,166
