Label,Count,Wing_Area,Notes
MP_EleKopp1.1_B2_1_F__01.tif,64,A1,
MP_EleKopp1.1_B2_1_F__01.tif,73,A2,
MP_EleKopp1.1_B2_1_F__01.tif,84,B1,
MP_EleKopp1.1_B2_1_F__01.tif,104,B2,
MP_EleKopp1.1_B2_1_F__01.tif,96,B3,
MP_EleKopp1.1_B2_1_F__01.tif,70,C1,
MP_EleKopp1.1_B2_1_F__01.tif,91,C2,
MP_EleKopp1.1_B2_1_F__01.tif,111,C3,
MP_EleKopp1.1_B2_1_F__01.tif,96,E1,
MP_EleKopp1.1_B2_1_F__01.tif,107,E2,
MP_EleKopp1.1_B2_1_F__01.tif,97,F1,
MP_EleKopp1.1_B2_1_F__01.tif,106,F2,
MP_EleKopp1.1_B2_1_F__01.tif,111,F3,
MP_EleKopp1.1_B2_1_F__01.tif,118,G1,
MP_EleKopp1.1_B2_1_F__01.tif,107,G2,black spots
MP_EleKopp1.1_B2_1_F__01.tif,96,G3,
MP_EleKopp1.1_B2_1_F__02.tif,70,A1,
MP_EleKopp1.1_B2_1_F__02.tif,66,A2,
MP_EleKopp1.1_B2_1_F__02.tif,84,B1,
MP_EleKopp1.1_B2_1_F__02.tif,94,B2,
MP_EleKopp1.1_B2_1_F__02.tif,90,B3,
MP_EleKopp1.1_B2_1_F__02.tif,70,C1,
MP_EleKopp1.1_B2_1_F__02.tif,80,C2,
MP_EleKopp1.1_B2_1_F__02.tif,102,C3,
MP_EleKopp1.1_B2_1_F__02.tif,88,E1,
MP_EleKopp1.1_B2_1_F__02.tif,99,E2,
MP_EleKopp1.1_B2_1_F__02.tif,86,F1,
MP_EleKopp1.1_B2_1_F__02.tif,94,F2,
MP_EleKopp1.1_B2_1_F__02.tif,103,F3,
MP_EleKopp1.1_B2_1_F__02.tif,129,G1,
MP_EleKopp1.1_B2_1_F__02.tif,75,G2,
MP_EleKopp1.1_B2_1_F__02.tif,112,G3,
MP_EleKopp1.1_B2_1_M__01.tif,72,A1,
MP_EleKopp1.1_B2_1_M__01.tif,71,A2,
MP_EleKopp1.1_B2_1_M__01.tif,93,B1,
MP_EleKopp1.1_B2_1_M__01.tif,89,B2,
MP_EleKopp1.1_B2_1_M__01.tif,103,B3,brown spots
MP_EleKopp1.1_B2_1_M__01.tif,78,C1,
MP_EleKopp1.1_B2_1_M__01.tif,93,C2,
MP_EleKopp1.1_B2_1_M__01.tif,107,C3,brown spots
MP_EleKopp1.1_B2_1_M__01.tif,117,E1,
MP_EleKopp1.1_B2_1_M__01.tif,107,E2,
MP_EleKopp1.1_B2_1_M__01.tif,93,F1,
MP_EleKopp1.1_B2_1_M__01.tif,91,F2,
MP_EleKopp1.1_B2_1_M__01.tif,118,F3,
MP_EleKopp1.1_B2_1_M__01.tif,128,G1,
MP_EleKopp1.1_B2_1_M__01.tif,83,G2,
MP_EleKopp1.1_B2_1_M__01.tif,108,G3,
MP_EleKopp1.1_B2_1_M__02.tif,68,A1,
MP_EleKopp1.1_B2_1_M__02.tif,67,A2,
