Label,Count,Wing_Area
MP_PanKopp1.1_B3_1_F__01.tif,162,A1
MP_PanKopp1.1_B3_1_F__01.tif,158,A2
MP_PanKopp1.1_B3_1_F__01.tif,182,B1
MP_PanKopp1.1_B3_1_F__01.tif,148,B2
MP_PanKopp1.1_B3_1_F__01.tif,123,B3
MP_PanKopp1.1_B3_1_F__01.tif,169,C1
MP_PanKopp1.1_B3_1_F__01.tif,127,C2
MP_PanKopp1.1_B3_1_F__01.tif,155,C3
MP_PanKopp1.1_B3_1_F__01.tif,155,E1
MP_PanKopp1.1_B3_1_F__01.tif,147,E2
MP_PanKopp1.1_B3_1_F__01.tif,121,F1
MP_PanKopp1.1_B3_1_F__01.tif,101,F2
MP_PanKopp1.1_B3_1_F__01.tif,113,F3
MP_PanKopp1.1_B3_1_F__01.tif,141,G1
MP_PanKopp1.1_B3_1_F__01.tif,88,G2
MP_PanKopp1.1_B3_1_F__01.tif,120,G3
MP_PanKopp1.1_B3_1_F__02.tif,62,A1
MP_PanKopp1.1_B3_1_F__02.tif,62,A2
MP_PanKopp1.1_B3_1_F__02.tif,67,B1
MP_PanKopp1.1_B3_1_F__02.tif,65,B2
MP_PanKopp1.1_B3_1_F__02.tif,90,B3
MP_PanKopp1.1_B3_1_F__02.tif,74,C1
MP_PanKopp1.1_B3_1_F__02.tif,75,C2
MP_PanKopp1.1_B3_1_F__02.tif,98,C3
MP_PanKopp1.1_B3_1_F__02.tif,77,E1
MP_PanKopp1.1_B3_1_F__02.tif,76,E2
MP_PanKopp1.1_B3_1_F__02.tif,93,F1
MP_PanKopp1.1_B3_1_F__02.tif,74,F2
MP_PanKopp1.1_B3_1_F__02.tif,93,F3
MP_PanKopp1.1_B3_1_F__02.tif,104,G1
MP_PanKopp1.1_B3_1_F__02.tif,77,G2
MP_PanKopp1.1_B3_1_F__02.tif,104,G3
MP_PanKopp1.1_B3_1_F__03.tif,60,A1
MP_PanKopp1.1_B3_1_F__03.tif,63,A2
MP_PanKopp1.1_B3_1_F__03.tif,74,B1
MP_PanKopp1.1_B3_1_F__03.tif,77,B2
MP_PanKopp1.1_B3_1_F__03.tif,96,B3
MP_PanKopp1.1_B3_1_F__03.tif,80,C1
MP_PanKopp1.1_B3_1_F__03.tif,77,C2
MP_PanKopp1.1_B3_1_F__03.tif,116,C3
MP_PanKopp1.1_B3_1_F__03.tif,84,E1
MP_PanKopp1.1_B3_1_F__03.tif,76,E2
MP_PanKopp1.1_B3_1_F__03.tif,95,F1
MP_PanKopp1.1_B3_1_F__03.tif,94,F2
MP_PanKopp1.1_B3_1_F__03.tif,97,F3
MP_PanKopp1.1_B3_1_F__03.tif,103,G1
MP_PanKopp1.1_B3_1_F__03.tif,72,G2
MP_PanKopp1.1_B3_1_F__03.tif,100,G3
MP_PanKopp1.1_B3_1_F__04.tif,67,A1
MP_PanKopp1.1_B3_1_F__04.tif,77,A2
MP_PanKopp1.1_B3_1_F__04.tif,80,B1
MP_PanKopp1.1_B3_1_F__04.tif,80,B2
MP_PanKopp1.1_B3_1_F__04.tif,103,B3
MP_PanKopp1.1_B3_1_F__04.tif,74,C1
MP_PanKopp1.1_B3_1_F__04.tif,77,C2
MP_PanKopp1.1_B3_1_F__04.tif,96,C3
MP_PanKopp1.1_B3_1_F__04.tif,89,E1
MP_PanKopp1.1_B3_1_F__04.tif,86,E2
MP_PanKopp1.1_B3_1_F__04.tif,89,F1
MP_PanKopp1.1_B3_1_F__04.tif,88,F2
MP_PanKopp1.1_B3_1_F__04.tif,99,F3
MP_PanKopp1.1_B3_1_F__04.tif,98,G1
MP_PanKopp1.1_B3_1_F__04.tif,75,G2
MP_PanKopp1.1_B3_1_F__04.tif,107,G3
MP_PanKopp1.1_B3_1_F__05.tif,67,A1
MP_PanKopp1.1_B3_1_F__05.tif,70,A2
MP_PanKopp1.1_B3_1_F__05.tif,68,B1
MP_PanKopp1.1_B3_1_F__05.tif,66,B2
MP_PanKopp1.1_B3_1_F__05.tif,85,B3
MP_PanKopp1.1_B3_1_F__05.tif,71,C1
MP_PanKopp1.1_B3_1_F__05.tif,72,C2
MP_PanKopp1.1_B3_1_F__05.tif,104,C3
MP_PanKopp1.1_B3_1_F__05.tif,83,E1
MP_PanKopp1.1_B3_1_F__05.tif,83,E2
MP_PanKopp1.1_B3_1_F__05.tif,78,F1
MP_PanKopp1.1_B3_1_F__05.tif,77,F2
MP_PanKopp1.1_B3_1_F__05.tif,90,F3
MP_PanKopp1.1_B3_1_F__05.tif,91,G1
MP_PanKopp1.1_B3_1_F__05.tif,74,G2
MP_PanKopp1.1_B3_1_F__05.tif,101,G3
MP_PanKopp1.1_B3_1_F__06.tif,139,A1
MP_PanKopp1.1_B3_1_F__06.tif,138,A2
MP_PanKopp1.1_B3_1_F__06.tif,133,B1
MP_PanKopp1.1_B3_1_F__06.tif,123,B2
MP_PanKopp1.1_B3_1_F__06.tif,148,B3
MP_PanKopp1.1_B3_1_F__06.tif,120,C1
MP_PanKopp1.1_B3_1_F__06.tif,167,C2
MP_PanKopp1.1_B3_1_F__06.tif,129,C3
MP_PanKopp1.1_B3_1_F__06.tif,121,E1
MP_PanKopp1.1_B3_1_F__06.tif,147,E2
MP_PanKopp1.1_B3_1_F__06.tif,148,F1
MP_PanKopp1.1_B3_1_F__06.tif,157,F2
MP_PanKopp1.1_B3_1_F__06.tif,162,F3
MP_PanKopp1.1_B3_1_F__06.tif,133,G1
MP_PanKopp1.1_B3_1_F__06.tif,122,G2
MP_PanKopp1.1_B3_1_F__06.tif,135,G3
MP_PanKopp1.1_B3_1_F__07.tif,61,A1
MP_PanKopp1.1_B3_1_F__07.tif,57,A2
MP_PanKopp1.1_B3_1_F__07.tif,74,B1
MP_PanKopp1.1_B3_1_F__07.tif,76,B2
MP_PanKopp1.1_B3_1_F__07.tif,88,B3
MP_PanKopp1.1_B3_1_F__07.tif,71,C1
MP_PanKopp1.1_B3_1_F__07.tif,85,C2
MP_PanKopp1.1_B3_1_F__07.tif,92,C3
MP_PanKopp1.1_B3_1_F__07.tif,90,E1
MP_PanKopp1.1_B3_1_F__07.tif,80,E2
MP_PanKopp1.1_B3_1_F__07.tif,83,F1
MP_PanKopp1.1_B3_1_F__07.tif,80,F2
MP_PanKopp1.1_B3_1_F__07.tif,87,F3
MP_PanKopp1.1_B3_1_F__07.tif,102,G1
MP_PanKopp1.1_B3_1_F__07.tif,76,G2
MP_PanKopp1.1_B3_1_F__07.tif,98,G3
MP_PanKopp1.1_B3_1_F__08.tif,70,A1
MP_PanKopp1.1_B3_1_F__08.tif,66,A2
MP_PanKopp1.1_B3_1_F__08.tif,72,B1
MP_PanKopp1.1_B3_1_F__08.tif,75,B2
MP_PanKopp1.1_B3_1_F__08.tif,91,B3
MP_PanKopp1.1_B3_1_F__08.tif,82,C1
MP_PanKopp1.1_B3_1_F__08.tif,82,C2
MP_PanKopp1.1_B3_1_F__08.tif,105,C3
MP_PanKopp1.1_B3_1_F__08.tif,84,E1
MP_PanKopp1.1_B3_1_F__08.tif,88,E2
MP_PanKopp1.1_B3_1_F__08.tif,93,F1
MP_PanKopp1.1_B3_1_F__08.tif,73,F2
MP_PanKopp1.1_B3_1_F__08.tif,106,F3
MP_PanKopp1.1_B3_1_F__08.tif,118,G1
MP_PanKopp1.1_B3_1_F__08.tif,72,G2
MP_PanKopp1.1_B3_1_F__08.tif,100,G3
MP_PanKopp1.1_B3_1_F__09.tif,74,A1
MP_PanKopp1.1_B3_1_F__09.tif,66,A2
MP_PanKopp1.1_B3_1_F__09.tif,88,B1
MP_PanKopp1.1_B3_1_F__09.tif,72,B2
MP_PanKopp1.1_B3_1_F__09.tif,95,B3
MP_PanKopp1.1_B3_1_F__09.tif,76,C1
MP_PanKopp1.1_B3_1_F__09.tif,82,C2
MP_PanKopp1.1_B3_1_F__09.tif,95,C3
MP_PanKopp1.1_B3_1_F__09.tif,95,E1
MP_PanKopp1.1_B3_1_F__09.tif,84,E2
MP_PanKopp1.1_B3_1_F__09.tif,84,F1
MP_PanKopp1.1_B3_1_F__09.tif,97,F2
MP_PanKopp1.1_B3_1_F__09.tif,97,F3
MP_PanKopp1.1_B3_1_F__09.tif,96,G1
MP_PanKopp1.1_B3_1_F__09.tif,72,G2
MP_PanKopp1.1_B3_1_F__09.tif,106,G3
MP_PanKopp1.1_B3_1_F__10.tif,58,A1
MP_PanKopp1.1_B3_1_F__10.tif,65,A2
MP_PanKopp1.1_B3_1_F__10.tif,71,B1
MP_PanKopp1.1_B3_1_F__10.tif,68,B2
MP_PanKopp1.1_B3_1_F__10.tif,75,B3
MP_PanKopp1.1_B3_1_F__10.tif,76,C1
MP_PanKopp1.1_B3_1_F__10.tif,79,C2
MP_PanKopp1.1_B3_1_F__10.tif,101,C3
MP_PanKopp1.1_B3_1_F__10.tif,92,E1
MP_PanKopp1.1_B3_1_F__10.tif,82,E2
MP_PanKopp1.1_B3_1_F__10.tif,86,F1
MP_PanKopp1.1_B3_1_F__10.tif,95,F2
MP_PanKopp1.1_B3_1_F__10.tif,98,F3
MP_PanKopp1.1_B3_1_F__10.tif,104,G1
MP_PanKopp1.1_B3_1_F__10.tif,61,G2
MP_PanKopp1.1_B3_1_F__10.tif,110,G3
MP_PanKopp1.1_B3_1_F__11.tif,64,A1
MP_PanKopp1.1_B3_1_F__11.tif,70,A2
MP_PanKopp1.1_B3_1_F__11.tif,90,B1
MP_PanKopp1.1_B3_1_F__11.tif,86,B2
MP_PanKopp1.1_B3_1_F__11.tif,104,B3
MP_PanKopp1.1_B3_1_F__11.tif,82,C1
MP_PanKopp1.1_B3_1_F__11.tif,108,C2
MP_PanKopp1.1_B3_1_F__11.tif,116,C3
MP_PanKopp1.1_B3_1_F__11.tif,91,E1
MP_PanKopp1.1_B3_1_F__11.tif,84,E2
MP_PanKopp1.1_B3_1_F__11.tif,94,F1
MP_PanKopp1.1_B3_1_F__11.tif,87,F2
MP_PanKopp1.1_B3_1_F__11.tif,81,F3
MP_PanKopp1.1_B3_1_F__11.tif,117,G1
MP_PanKopp1.1_B3_1_F__11.tif,84,G2
MP_PanKopp1.1_B3_1_F__11.tif,100,G3
MP_PanKopp1.1_B3_1_F__12.tif,69,A1
MP_PanKopp1.1_B3_1_F__12.tif,70,A2
MP_PanKopp1.1_B3_1_F__12.tif,68,B1
MP_PanKopp1.1_B3_1_F__12.tif,66,B2
MP_PanKopp1.1_B3_1_F__12.tif,105,B3
MP_PanKopp1.1_B3_1_F__12.tif,84,C1
MP_PanKopp1.1_B3_1_F__12.tif,76,C2
MP_PanKopp1.1_B3_1_F__12.tif,100,C3
MP_PanKopp1.1_B3_1_F__12.tif,91,E1
MP_PanKopp1.1_B3_1_F__12.tif,74,E2
MP_PanKopp1.1_B3_1_F__12.tif,85,F1
MP_PanKopp1.1_B3_1_F__12.tif,87,F2
MP_PanKopp1.1_B3_1_F__12.tif,104,F3
MP_PanKopp1.1_B3_1_F__12.tif,102,G1
MP_PanKopp1.1_B3_1_F__12.tif,69,G2
MP_PanKopp1.1_B3_1_F__12.tif,108,G3
MP_PanKopp1.1_B3_1_F__13.tif,64,A1
MP_PanKopp1.1_B3_1_F__13.tif,58,A2
MP_PanKopp1.1_B3_1_F__13.tif,73,B1
MP_PanKopp1.1_B3_1_F__13.tif,75,B2
MP_PanKopp1.1_B3_1_F__13.tif,84,B3
MP_PanKopp1.1_B3_1_F__13.tif,77,C1
MP_PanKopp1.1_B3_1_F__13.tif,73,C2
MP_PanKopp1.1_B3_1_F__13.tif,112,C3
MP_PanKopp1.1_B3_1_F__13.tif,84,E1
MP_PanKopp1.1_B3_1_F__13.tif,86,E2
MP_PanKopp1.1_B3_1_F__13.tif,97,F1
MP_PanKopp1.1_B3_1_F__13.tif,98,F2
MP_PanKopp1.1_B3_1_F__13.tif,101,F3
MP_PanKopp1.1_B3_1_F__13.tif,114,G1
MP_PanKopp1.1_B3_1_F__13.tif,64,G2
MP_PanKopp1.1_B3_1_F__13.tif,104,G3
MP_PanKopp1.1_B3_1_F__14.tif,67,A1
MP_PanKopp1.1_B3_1_F__14.tif,74,A2
MP_PanKopp1.1_B3_1_F__14.tif,80,B1
MP_PanKopp1.1_B3_1_F__14.tif,73,B2
MP_PanKopp1.1_B3_1_F__14.tif,79,B3
MP_PanKopp1.1_B3_1_F__14.tif,70,C1
MP_PanKopp1.1_B3_1_F__14.tif,75,C2
MP_PanKopp1.1_B3_1_F__14.tif,105,C3
MP_PanKopp1.1_B3_1_F__14.tif,86,E1
MP_PanKopp1.1_B3_1_F__14.tif,88,E2
MP_PanKopp1.1_B3_1_F__14.tif,95,F1
MP_PanKopp1.1_B3_1_F__14.tif,91,F2
MP_PanKopp1.1_B3_1_F__14.tif,103,F3
MP_PanKopp1.1_B3_1_F__14.tif,95,G1
MP_PanKopp1.1_B3_1_F__14.tif,63,G2
MP_PanKopp1.1_B3_1_F__14.tif,100,G3
MP_PanKopp1.1_B3_1_F__15.tif,74,A1
MP_PanKopp1.1_B3_1_F__15.tif,68,A2
MP_PanKopp1.1_B3_1_F__15.tif,74,B1
