 ,Label,Count
1,MP_EleKopp1.1_B2_1_F__01.tif,68
2,MP_EleKopp1.1_B2_1_F__01.tif,73
3,MP_EleKopp1.1_B2_1_F__01.tif,95
4,MP_EleKopp1.1_B2_1_F__01.tif,104
5,MP_EleKopp1.1_B2_1_F__01.tif,92
6,MP_EleKopp1.1_B2_1_F__01.tif,74
7,MP_EleKopp1.1_B2_1_F__01.tif,84
8,MP_EleKopp1.1_B2_1_F__01.tif,109
9,MP_EleKopp1.1_B2_1_F__01.tif,125
10,MP_EleKopp1.1_B2_1_F__01.tif,112
11,MP_EleKopp1.1_B2_1_F__01.tif,105
12,MP_EleKopp1.1_B2_1_F__01.tif,105
13,MP_EleKopp1.1_B2_1_F__01.tif,111
14,MP_EleKopp1.1_B2_1_F__01.tif,99
15,MP_EleKopp1.1_B2_1_F__01.tif,90
16,MP_EleKopp1.1_B2_1_F__01.tif,97
17,MP_EleKopp1.1_B2_1_F__02.tif,71
18,MP_EleKopp1.1_B2_1_F__02.tif,71
19,MP_EleKopp1.1_B2_1_F__02.tif,80
20,MP_EleKopp1.1_B2_1_F__02.tif,84
21,MP_EleKopp1.1_B2_1_F__02.tif,91
22,MP_EleKopp1.1_B2_1_F__02.tif,73
23,MP_EleKopp1.1_B2_1_F__02.tif,79
24,MP_EleKopp1.1_B2_1_F__02.tif,97
25,MP_EleKopp1.1_B2_1_F__02.tif,96
26,MP_EleKopp1.1_B2_1_F__02.tif,94
27,MP_EleKopp1.1_B2_1_F__02.tif,92
28,MP_EleKopp1.1_B2_1_F__02.tif,91
29,MP_EleKopp1.1_B2_1_F__02.tif,101
30,MP_EleKopp1.1_B2_1_F__02.tif,82
31,MP_EleKopp1.1_B2_1_F__02.tif,78
32,MP_EleKopp1.1_B2_1_F__02.tif,108
33,MP_EleKopp1.1_B2_1_M__01.tif,72
34,MP_EleKopp1.1_B2_1_M__01.tif,64
35,MP_EleKopp1.1_B2_1_M__01.tif,96
36,MP_EleKopp1.1_B2_1_M__01.tif,91
37,MP_EleKopp1.1_B2_1_M__01.tif,121
38,MP_EleKopp1.1_B2_1_M__01.tif,80
39,MP_EleKopp1.1_B2_1_M__01.tif,91
40,MP_EleKopp1.1_B2_1_M__01.tif,109
41,MP_EleKopp1.1_B2_1_M__01.tif,132
42,MP_EleKopp1.1_B2_1_M__01.tif,124
43,MP_EleKopp1.1_B2_1_M__01.tif,104
44,MP_EleKopp1.1_B2_1_M__01.tif,109
45,MP_EleKopp1.1_B2_1_M__01.tif,116
46,MP_EleKopp1.1_B2_1_M__01.tif,103
47,MP_EleKopp1.1_B2_1_M__01.tif,81
48,MP_EleKopp1.1_B2_1_M__01.tif,104
49,MP_EleKopp1.1_B2_1_M__02.tif,68
50,MP_EleKopp1.1_B2_1_M__02.tif,67
51,MP_EleKopp1.1_B2_1_M__02.tif,84
52,MP_EleKopp1.1_B2_1_M__02.tif,82
53,MP_EleKopp1.1_B2_1_M__02.tif,81
54,MP_EleKopp1.1_B2_1_M__02.tif,74
55,MP_EleKopp1.1_B2_1_M__02.tif,84
56,MP_EleKopp1.1_B2_1_M__02.tif,97
57,MP_EleKopp1.1_B2_1_M__02.tif,114
58,MP_EleKopp1.1_B2_1_M__02.tif,90
59,MP_EleKopp1.1_B2_1_M__02.tif,96
60,MP_EleKopp1.1_B2_1_M__02.tif,95
61,MP_EleKopp1.1_B2_1_M__02.tif,106
62,MP_EleKopp1.1_B2_1_M__02.tif,91
63,MP_EleKopp1.1_B2_1_M__02.tif,72
64,MP_EleKopp1.1_B2_1_M__02.tif,107
65,MP_EleKopp1.1_B2_2_F__01.tif,64
66,MP_EleKopp1.1_B2_2_F__01.tif,67
67,MP_EleKopp1.1_B2_2_F__01.tif,86
68,MP_EleKopp1.1_B2_2_F__01.tif,102
69,MP_EleKopp1.1_B2_2_F__01.tif,93
70,MP_EleKopp1.1_B2_2_F__01.tif,88
71,MP_EleKopp1.1_B2_2_F__01.tif,81
72,MP_EleKopp1.1_B2_2_F__01.tif,109
73,MP_EleKopp1.1_B2_2_F__01.tif,111
74,MP_EleKopp1.1_B2_2_F__01.tif,106
75,MP_EleKopp1.1_B2_2_F__01.tif,99
76,MP_EleKopp1.1_B2_2_F__01.tif,100
77,MP_EleKopp1.1_B2_2_F__01.tif,109
78,MP_EleKopp1.1_B2_2_F__01.tif,91
79,MP_EleKopp1.1_B2_2_F__01.tif,86
80,MP_EleKopp1.1_B2_2_F__01.tif,99
81,MP_EleKopp1.1_B2_2_F__02.tif,62
82,MP_EleKopp1.1_B2_2_F__02.tif,64
83,MP_EleKopp1.1_B2_2_F__02.tif,85
84,MP_EleKopp1.1_B2_2_F__02.tif,96
85,MP_EleKopp1.1_B2_2_F__02.tif,111
86,MP_EleKopp1.1_B2_2_F__02.tif,73
87,MP_EleKopp1.1_B2_2_F__02.tif,86
88,MP_EleKopp1.1_B2_2_F__02.tif,100
89,MP_EleKopp1.1_B2_2_F__02.tif,110
90,MP_EleKopp1.1_B2_2_F__02.tif,115
91,MP_EleKopp1.1_B2_2_F__02.tif,101
92,MP_EleKopp1.1_B2_2_F__02.tif,93
93,MP_EleKopp1.1_B2_2_F__02.tif,116
94,MP_EleKopp1.1_B2_2_F__02.tif,111
95,MP_EleKopp1.1_B2_2_F__02.tif,89
96,MP_EleKopp1.1_B2_2_F__02.tif,101
97,MP_EleKopp1.1_B2_2_F__03.tif,63
98,MP_EleKopp1.1_B2_2_F__03.tif,75
99,MP_EleKopp1.1_B2_2_F__03.tif,87
100,MP_EleKopp1.1_B2_2_F__03.tif,90
101,MP_EleKopp1.1_B2_2_F__03.tif,93
102,MP_EleKopp1.1_B2_2_F__03.tif,82
103,MP_EleKopp1.1_B2_2_F__03.tif,81
104,MP_EleKopp1.1_B2_2_F__03.tif,97
105,MP_EleKopp1.1_B2_2_F__03.tif,128
106,MP_EleKopp1.1_B2_2_F__03.tif,105
107,MP_EleKopp1.1_B2_2_F__03.tif,96
108,MP_EleKopp1.1_B2_2_F__03.tif,100
109,MP_EleKopp1.1_B2_2_F__03.tif,93
110,MP_EleKopp1.1_B2_2_F__03.tif,107
111,MP_EleKopp1.1_B2_2_F__03.tif,96
112,MP_EleKopp1.1_B2_2_F__03.tif,101
113,MP_EleKopp1.1_B2_2_F__04.tif,62
114,MP_EleKopp1.1_B2_2_F__04.tif,84
115,MP_EleKopp1.1_B2_2_F__04.tif,91
116,MP_EleKopp1.1_B2_2_F__04.tif,85
117,MP_EleKopp1.1_B2_2_F__04.tif,96
118,MP_EleKopp1.1_B2_2_F__04.tif,63
119,MP_EleKopp1.1_B2_2_F__04.tif,82
