 ,Label,Count
1,MP_FicKopp1.1_B2_1_F__01.tif,159
2,MP_FicKopp1.1_B2_1_F__01.tif,143
3,MP_FicKopp1.1_B2_1_F__01.tif,182
4,MP_FicKopp1.1_B2_1_F__01.tif,181
5,MP_FicKopp1.1_B2_1_F__01.tif,96
6,MP_FicKopp1.1_B2_1_F__01.tif,178
7,MP_FicKopp1.1_B2_1_F__01.tif,155
8,MP_FicKopp1.1_B2_1_F__01.tif,99
9,MP_FicKopp1.1_B2_1_F__01.tif,174
10,MP_FicKopp1.1_B2_1_F__01.tif,217
11,MP_FicKopp1.1_B2_1_F__01.tif,183
12,MP_FicKopp1.1_B2_1_F__01.tif,152
13,MP_FicKopp1.1_B2_1_F__01.tif,111
14,MP_FicKopp1.1_B2_1_F__01.tif,156
15,MP_FicKopp1.1_B2_1_F__01.tif,196
16,MP_FicKopp1.1_B2_1_F__01.tif,192
17,MP_FicKopp1.1_B2_1_F__02.tif,149
18,MP_FicKopp1.1_B2_1_F__02.tif,145
19,MP_FicKopp1.1_B2_1_F__02.tif,125
20,MP_FicKopp1.1_B2_1_F__02.tif,71
21,MP_FicKopp1.1_B2_1_F__02.tif,55
22,MP_FicKopp1.1_B2_1_F__02.tif,112
23,MP_FicKopp1.1_B2_1_F__02.tif,45
24,MP_FicKopp1.1_B2_1_F__02.tif,71
25,MP_FicKopp1.1_B2_1_F__02.tif,125
26,MP_FicKopp1.1_B2_1_F__02.tif,137
27,MP_FicKopp1.1_B2_1_F__02.tif,87
28,MP_FicKopp1.1_B2_1_F__02.tif,78
29,MP_FicKopp1.1_B2_1_F__02.tif,82
30,MP_FicKopp1.1_B2_1_F__02.tif,100
31,MP_FicKopp1.1_B2_1_F__02.tif,63
32,MP_FicKopp1.1_B2_1_F__02.tif,84
33,MP_FicKopp1.1_B2_1_F__03.tif,100
34,MP_FicKopp1.1_B2_1_F__03.tif,106
35,MP_FicKopp1.1_B2_1_F__03.tif,99
36,MP_FicKopp1.1_B2_1_F__03.tif,60
37,MP_FicKopp1.1_B2_1_F__03.tif,69
38,MP_FicKopp1.1_B2_1_F__03.tif,137
39,MP_FicKopp1.1_B2_1_F__03.tif,93
40,MP_FicKopp1.1_B2_1_F__03.tif,75
41,MP_FicKopp1.1_B2_1_F__03.tif,134
42,MP_FicKopp1.1_B2_1_F__03.tif,163
43,MP_FicKopp1.1_B2_1_F__03.tif,155
44,MP_FicKopp1.1_B2_1_F__03.tif,57
45,MP_FicKopp1.1_B2_1_F__03.tif,77
46,MP_FicKopp1.1_B2_1_F__03.tif,121
47,MP_FicKopp1.1_B2_1_F__03.tif,81
48,MP_FicKopp1.1_B2_1_F__03.tif,143
49,MP_FicKopp1.1_B2_1_F__04.tif,80
50,MP_FicKopp1.1_B2_1_F__04.tif,61
51,MP_FicKopp1.1_B2_1_F__04.tif,74
52,MP_FicKopp1.1_B2_1_F__04.tif,74
53,MP_FicKopp1.1_B2_1_F__04.tif,89
54,MP_FicKopp1.1_B2_1_F__04.tif,68
55,MP_FicKopp1.1_B2_1_F__04.tif,72
56,MP_FicKopp1.1_B2_1_F__04.tif,98
57,MP_FicKopp1.1_B2_1_F__04.tif,83
