 ,Label,Count
1,MP_MelC3.4_B1_1_F__01.tif,58
2,MP_MelC3.4_B1_1_F__01.tif,70
3,MP_MelC3.4_B1_1_F__01.tif,77
4,MP_MelC3.4_B1_1_F__01.tif,70
5,MP_MelC3.4_B1_1_F__01.tif,69
6,MP_MelC3.4_B1_1_F__01.tif,62
7,MP_MelC3.4_B1_1_F__01.tif,64
8,MP_MelC3.4_B1_1_F__01.tif,80
9,MP_MelC3.4_B1_1_F__01.tif,78
10,MP_MelC3.4_B1_1_F__01.tif,69
11,MP_MelC3.4_B1_1_F__01.tif,63
12,MP_MelC3.4_B1_1_F__01.tif,73
13,MP_MelC3.4_B1_1_F__01.tif,80
14,MP_MelC3.4_B1_1_F__01.tif,71
15,MP_MelC3.4_B1_1_F__01.tif,66
16,MP_MelC3.4_B1_1_F__01.tif,74
17,MP_MelC3.4_B1_1_F__02.tif,62
18,MP_MelC3.4_B1_1_F__02.tif,67
19,MP_MelC3.4_B1_1_F__02.tif,83
20,MP_MelC3.4_B1_1_F__02.tif,68
21,MP_MelC3.4_B1_1_F__02.tif,72
22,MP_MelC3.4_B1_1_F__02.tif,59
23,MP_MelC3.4_B1_1_F__02.tif,67
24,MP_MelC3.4_B1_1_F__02.tif,73
25,MP_MelC3.4_B1_1_F__02.tif,85
26,MP_MelC3.4_B1_1_F__02.tif,70
27,MP_MelC3.4_B1_1_F__02.tif,73
28,MP_MelC3.4_B1_1_F__02.tif,78
29,MP_MelC3.4_B1_1_F__02.tif,79
30,MP_MelC3.4_B1_1_F__02.tif,69
31,MP_MelC3.4_B1_1_F__02.tif,72
32,MP_MelC3.4_B1_1_F__02.tif,82
33,MP_MelC3.4_B1_1_F__03.tif,61
34,MP_MelC3.4_B1_1_F__03.tif,62
35,MP_MelC3.4_B1_1_F__03.tif,77
36,MP_MelC3.4_B1_1_F__03.tif,66
37,MP_MelC3.4_B1_1_F__03.tif,66
38,MP_MelC3.4_B1_1_F__03.tif,57
39,MP_MelC3.4_B1_1_F__03.tif,71
40,MP_MelC3.4_B1_1_F__03.tif,83
41,MP_MelC3.4_B1_1_F__03.tif,85
42,MP_MelC3.4_B1_1_F__03.tif,74
43,MP_MelC3.4_B1_1_F__03.tif,64
44,MP_MelC3.4_B1_1_F__03.tif,68
45,MP_MelC3.4_B1_1_F__03.tif,75
46,MP_MelC3.4_B1_1_F__03.tif,69
47,MP_MelC3.4_B1_1_F__03.tif,65
48,MP_MelC3.4_B1_1_F__03.tif,96
49,MP_MelC3.4_B1_1_F__04.tif,64
50,MP_MelC3.4_B1_1_F__04.tif,62
51,MP_MelC3.4_B1_1_F__04.tif,79
52,MP_MelC3.4_B1_1_F__04.tif,68
53,MP_MelC3.4_B1_1_F__04.tif,66
54,MP_MelC3.4_B1_1_F__04.tif,63
55,MP_MelC3.4_B1_1_F__04.tif,61
56,MP_MelC3.4_B1_1_F__04.tif,67
57,MP_MelC3.4_B1_1_F__04.tif,79
58,MP_MelC3.4_B1_1_F__04.tif,83
59,MP_MelC3.4_B1_1_F__04.tif,59
60,MP_MelC3.4_B1_1_F__04.tif,81
61,MP_MelC3.4_B1_1_F__04.tif,72
62,MP_MelC3.4_B1_1_F__04.tif,85
63,MP_MelC3.4_B1_1_F__04.tif,70
64,MP_MelC3.4_B1_1_F__04.tif,81
65,MP_MelC3.4_B1_1_F__05.tif,64
66,MP_MelC3.4_B1_1_F__05.tif,64
67,MP_MelC3.4_B1_1_F__05.tif,73
68,MP_MelC3.4_B1_1_F__05.tif,64
69,MP_MelC3.4_B1_1_F__05.tif,65
70,MP_MelC3.4_B1_1_F__05.tif,54
71,MP_MelC3.4_B1_1_F__05.tif,67
72,MP_MelC3.4_B1_1_F__05.tif,78
73,MP_MelC3.4_B1_1_F__05.tif,84
74,MP_MelC3.4_B1_1_F__05.tif,68
75,MP_MelC3.4_B1_1_F__05.tif,72
76,MP_MelC3.4_B1_1_F__05.tif,50
77,MP_MelC3.4_B1_1_F__05.tif,78
78,MP_MelC3.4_B1_1_F__05.tif,71
79,MP_MelC3.4_B1_1_F__05.tif,58
80,MP_MelC3.4_B1_1_F__05.tif,85
81,MP_MelC3.4_B1_1_F__06.tif,58
82,MP_MelC3.4_B1_1_F__06.tif,63
83,MP_MelC3.4_B1_1_F__06.tif,82
