 ,Label,Count
1,MP_MelZ251_B1_1_F__01.tif,69
2,MP_MelZ251_B1_1_F__01.tif,62
3,MP_MelZ251_B1_1_F__01.tif,74
4,MP_MelZ251_B1_1_F__01.tif,69
5,MP_MelZ251_B1_1_F__01.tif,69
6,MP_MelZ251_B1_1_F__01.tif,65
7,MP_MelZ251_B1_1_F__01.tif,64
8,MP_MelZ251_B1_1_F__01.tif,83
9,MP_MelZ251_B1_1_F__01.tif,82
10,MP_MelZ251_B1_1_F__01.tif,69
11,MP_MelZ251_B1_1_F__01.tif,61
12,MP_MelZ251_B1_1_F__01.tif,51
13,MP_MelZ251_B1_1_F__01.tif,79
14,MP_MelZ251_B1_1_F__01.tif,71
15,MP_MelZ251_B1_1_F__01.tif,61
16,MP_MelZ251_B1_1_F__01.tif,92
17,MP_MelZ251_B1_1_F__02.tif,54
18,MP_MelZ251_B1_1_F__02.tif,52
19,MP_MelZ251_B1_1_F__02.tif,79
20,MP_MelZ251_B1_1_F__02.tif,64
21,MP_MelZ251_B1_1_F__02.tif,83
22,MP_MelZ251_B1_1_F__02.tif,65
23,MP_MelZ251_B1_1_F__02.tif,72
24,MP_MelZ251_B1_1_F__02.tif,74
25,MP_MelZ251_B1_1_F__02.tif,73
26,MP_MelZ251_B1_1_F__02.tif,64
27,MP_MelZ251_B1_1_F__02.tif,63
28,MP_MelZ251_B1_1_F__02.tif,67
29,MP_MelZ251_B1_1_F__02.tif,75
30,MP_MelZ251_B1_1_F__02.tif,68
31,MP_MelZ251_B1_1_F__02.tif,65
32,MP_MelZ251_B1_1_F__02.tif,86
33,MP_MelZ251_B1_1_F__03.tif,60
34,MP_MelZ251_B1_1_F__03.tif,66
35,MP_MelZ251_B1_1_F__03.tif,75
36,MP_MelZ251_B1_1_F__03.tif,61
37,MP_MelZ251_B1_1_F__03.tif,87
38,MP_MelZ251_B1_1_F__03.tif,57
39,MP_MelZ251_B1_1_F__03.tif,60
40,MP_MelZ251_B1_1_F__03.tif,92
41,MP_MelZ251_B1_1_F__03.tif,73
42,MP_MelZ251_B1_1_F__03.tif,73
43,MP_MelZ251_B1_1_F__03.tif,57
44,MP_MelZ251_B1_1_F__03.tif,61
45,MP_MelZ251_B1_1_F__03.tif,84
46,MP_MelZ251_B1_1_F__03.tif,73
47,MP_MelZ251_B1_1_F__03.tif,52
48,MP_MelZ251_B1_1_F__03.tif,90
49,MP_MelZ251_B1_1_F__04.tif,70
50,MP_MelZ251_B1_1_F__04.tif,62
51,MP_MelZ251_B1_1_F__04.tif,79
52,MP_MelZ251_B1_1_F__04.tif,61
53,MP_MelZ251_B1_1_F__04.tif,84
54,MP_MelZ251_B1_1_F__04.tif,61
55,MP_MelZ251_B1_1_F__04.tif,66
56,MP_MelZ251_B1_1_F__04.tif,111
57,MP_MelZ251_B1_1_F__04.tif,80
58,MP_MelZ251_B1_1_F__04.tif,68
59,MP_MelZ251_B1_1_F__04.tif,69
60,MP_MelZ251_B1_1_F__04.tif,66
61,MP_MelZ251_B1_1_F__04.tif,88
62,MP_MelZ251_B1_1_F__04.tif,64
63,MP_MelZ251_B1_1_F__04.tif,65
64,MP_MelZ251_B1_1_F__04.tif,88
65,MP_MelZ251_B1_1_F__05.tif,56
66,MP_MelZ251_B1_1_F__05.tif,58
67,MP_MelZ251_B1_1_F__05.tif,70
68,MP_MelZ251_B1_1_F__05.tif,65
69,MP_MelZ251_B1_1_F__05.tif,83
70,MP_MelZ251_B1_1_F__05.tif,68
71,MP_MelZ251_B1_1_F__05.tif,62
72,MP_MelZ251_B1_1_F__05.tif,78
73,MP_MelZ251_B1_1_F__05.tif,73
74,MP_MelZ251_B1_1_F__05.tif,75
75,MP_MelZ251_B1_1_F__05.tif,69
76,MP_MelZ251_B1_1_F__05.tif,63
77,MP_MelZ251_B1_1_F__05.tif,90
78,MP_MelZ251_B1_1_F__05.tif,79
79,MP_MelZ251_B1_1_F__05.tif,63
80,MP_MelZ251_B1_1_F__05.tif,98
81,MP_MelZ251_B1_1_F__06.tif,63
82,MP_MelZ251_B1_1_F__06.tif,55
83,MP_MelZ251_B1_1_F__06.tif,81
84,MP_MelZ251_B1_1_F__06.tif,64
85,MP_MelZ251_B1_1_F__06.tif,85
86,MP_MelZ251_B1_1_F__06.tif,65
87,MP_MelZ251_B1_1_F__06.tif,66
88,MP_MelZ251_B1_1_F__06.tif,78
89,MP_MelZ251_B1_1_F__06.tif,77
90,MP_MelZ251_B1_1_F__06.tif,70
91,MP_MelZ251_B1_1_F__06.tif,70
92,MP_MelZ251_B1_1_F__06.tif,72
93,MP_MelZ251_B1_1_F__06.tif,84
94,MP_MelZ251_B1_1_F__06.tif,65
95,MP_MelZ251_B1_1_F__06.tif,65
96,MP_MelZ251_B1_1_F__06.tif,99
97,MP_MelZ251_B1_1_F__07.tif,57
98,MP_MelZ251_B1_1_F__07.tif,52
99,MP_MelZ251_B1_1_F__07.tif,60
100,MP_MelZ251_B1_1_F__07.tif,61
101,MP_MelZ251_B1_1_F__07.tif,70
102,MP_MelZ251_B1_1_F__07.tif,61
103,MP_MelZ251_B1_1_F__07.tif,62
104,MP_MelZ251_B1_1_F__07.tif,77
105,MP_MelZ251_B1_1_F__07.tif,74
106,MP_MelZ251_B1_1_F__07.tif,60
107,MP_MelZ251_B1_1_F__07.tif,62
108,MP_MelZ251_B1_1_F__07.tif,62
109,MP_MelZ251_B1_1_F__07.tif,78
110,MP_MelZ251_B1_1_F__07.tif,74
111,MP_MelZ251_B1_1_F__07.tif,59
112,MP_MelZ251_B1_1_F__07.tif,83
113,MP_MelZ251_B1_1_F__08.tif,64
114,MP_MelZ251_B1_1_F__08.tif,50
115,MP_MelZ251_B1_1_F__08.tif,62
116,MP_MelZ251_B1_1_F__08.tif,48
117,MP_MelZ251_B1_1_F__08.tif,76
118,MP_MelZ251_B1_1_F__08.tif,58
119,MP_MelZ251_B1_1_F__08.tif,60
120,MP_MelZ251_B1_1_F__08.tif,78
121,MP_MelZ251_B1_1_F__08.tif,75
122,MP_MelZ251_B1_1_F__08.tif,55
123,MP_MelZ251_B1_1_F__08.tif,59
124,MP_MelZ251_B1_1_F__08.tif,62
125,MP_MelZ251_B1_1_F__08.tif,73
126,MP_MelZ251_B1_1_F__08.tif,69
127,MP_MelZ251_B1_1_F__08.tif,59
128,MP_MelZ251_B1_1_F__08.tif,94
129,MP_MelZ251_B1_1_F__09.tif,56
130,MP_MelZ251_B1_1_F__09.tif,57
131,MP_MelZ251_B1_1_F__09.tif,70
132,MP_MelZ251_B1_1_F__09.tif,70
133,MP_MelZ251_B1_1_F__09.tif,78
134,MP_MelZ251_B1_1_F__09.tif,63
135,MP_MelZ251_B1_1_F__09.tif,63
136,MP_MelZ251_B1_1_F__09.tif,81
137,MP_MelZ251_B1_1_F__09.tif,71
138,MP_MelZ251_B1_1_F__09.tif,66
139,MP_MelZ251_B1_1_F__09.tif,62
140,MP_MelZ251_B1_1_F__09.tif,63
141,MP_MelZ251_B1_1_F__09.tif,77
142,MP_MelZ251_B1_1_F__09.tif,87
143,MP_MelZ251_B1_1_F__09.tif,56
144,MP_MelZ251_B1_1_F__09.tif,77
145,MP_MelZ251_B1_1_F__10.tif,60
146,MP_MelZ251_B1_1_F__10.tif,57
147,MP_MelZ251_B1_1_F__10.tif,65
148,MP_MelZ251_B1_1_F__10.tif,53
149,MP_MelZ251_B1_1_F__10.tif,75
150,MP_MelZ251_B1_1_F__10.tif,65
151,MP_MelZ251_B1_1_F__10.tif,56
152,MP_MelZ251_B1_1_F__10.tif,83
153,MP_MelZ251_B1_1_F__10.tif,74
154,MP_MelZ251_B1_1_F__10.tif,69
155,MP_MelZ251_B1_1_F__10.tif,59
156,MP_MelZ251_B1_1_F__10.tif,71
157,MP_MelZ251_B1_1_F__10.tif,82
158,MP_MelZ251_B1_1_F__10.tif,56
159,MP_MelZ251_B1_1_F__10.tif,50
160,MP_MelZ251_B1_1_F__10.tif,87
161,MP_MelZ251_B1_1_F__11.tif,56
162,MP_MelZ251_B1_1_F__11.tif,58
163,MP_MelZ251_B1_1_F__11.tif,67
164,MP_MelZ251_B1_1_F__11.tif,53
165,MP_MelZ251_B1_1_F__11.tif,87
166,MP_MelZ251_B1_1_F__11.tif,59
167,MP_MelZ251_B1_1_F__11.tif,67
168,MP_MelZ251_B1_1_F__11.tif,75
169,MP_MelZ251_B1_1_F__11.tif,68
170,MP_MelZ251_B1_1_F__11.tif,65
171,MP_MelZ251_B1_1_F__11.tif,70
172,MP_MelZ251_B1_1_F__11.tif,65
173,MP_MelZ251_B1_1_F__11.tif,82
174,MP_MelZ251_B1_1_F__11.tif,67
175,MP_MelZ251_B1_1_F__11.tif,56
176,MP_MelZ251_B1_1_F__11.tif,98
177,MP_MelZ251_B1_1_F__12.tif,56
178,MP_MelZ251_B1_1_F__12.tif,49
179,MP_MelZ251_B1_1_F__12.tif,72
180,MP_MelZ251_B1_1_F__12.tif,56
181,MP_MelZ251_B1_1_F__12.tif,72
182,MP_MelZ251_B1_1_F__12.tif,59
183,MP_MelZ251_B1_1_F__12.tif,62
184,MP_MelZ251_B1_1_F__12.tif,77
185,MP_MelZ251_B1_1_F__12.tif,67
186,MP_MelZ251_B1_1_F__12.tif,67
187,MP_MelZ251_B1_1_F__12.tif,55
188,MP_MelZ251_B1_1_F__12.tif,69
189,MP_MelZ251_B1_1_F__12.tif,79
190,MP_MelZ251_B1_1_F__12.tif,74
191,MP_MelZ251_B1_1_F__12.tif,52
