 ,Label,Count
1,MP_OreRab1.3_B2_1_F__01.tif,65
2,MP_OreRab1.3_B2_1_F__01.tif,56
3,MP_OreRab1.3_B2_1_F__01.tif,78
4,MP_OreRab1.3_B2_1_F__01.tif,74
5,MP_OreRab1.3_B2_1_F__01.tif,79
6,MP_OreRab1.3_B2_1_F__01.tif,69
7,MP_OreRab1.3_B2_1_F__01.tif,79
8,MP_OreRab1.3_B2_1_F__01.tif,94
9,MP_OreRab1.3_B2_1_F__01.tif,96
10,MP_OreRab1.3_B2_1_F__01.tif,88
11,MP_OreRab1.3_B2_1_F__01.tif,80
12,MP_OreRab1.3_B2_1_F__01.tif,77
13,MP_OreRab1.3_B2_1_F__01.tif,96
14,MP_OreRab1.3_B2_1_F__01.tif,108
15,MP_OreRab1.3_B2_1_F__01.tif,83
16,MP_OreRab1.3_B2_1_F__01.tif,92
17,MP_OreRab1.3_B2_1_M__01.tif,66
18,MP_OreRab1.3_B2_1_M__01.tif,63
19,MP_OreRab1.3_B2_1_M__01.tif,74
20,MP_OreRab1.3_B2_1_M__01.tif,68
21,MP_OreRab1.3_B2_1_M__01.tif,73
22,MP_OreRab1.3_B2_1_M__01.tif,62
23,MP_OreRab1.3_B2_1_M__01.tif,78
24,MP_OreRab1.3_B2_1_M__01.tif,90
25,MP_OreRab1.3_B2_1_M__01.tif,84
26,MP_OreRab1.3_B2_1_M__01.tif,92
27,MP_OreRab1.3_B2_1_M__01.tif,93
28,MP_OreRab1.3_B2_1_M__01.tif,72
29,MP_OreRab1.3_B2_1_M__01.tif,92
30,MP_OreRab1.3_B2_1_M__01.tif,89
31,MP_OreRab1.3_B2_1_M__01.tif,70
32,MP_OreRab1.3_B2_1_M__01.tif,102
33,MP_OreRab1.3_B2_1_M__02.tif,63
34,MP_OreRab1.3_B2_1_M__02.tif,57
35,MP_OreRab1.3_B2_1_M__02.tif,80
36,MP_OreRab1.3_B2_1_M__02.tif,73
37,MP_OreRab1.3_B2_1_M__02.tif,87
38,MP_OreRab1.3_B2_1_M__02.tif,65
39,MP_OreRab1.3_B2_1_M__02.tif,75
40,MP_OreRab1.3_B2_1_M__02.tif,100
41,MP_OreRab1.3_B2_1_M__02.tif,84
42,MP_OreRab1.3_B2_1_M__02.tif,89
43,MP_OreRab1.3_B2_1_M__02.tif,89
44,MP_OreRab1.3_B2_1_M__02.tif,75
45,MP_OreRab1.3_B2_1_M__02.tif,102
46,MP_OreRab1.3_B2_1_M__02.tif,91
47,MP_OreRab1.3_B2_1_M__02.tif,72
48,MP_OreRab1.3_B2_1_M__02.tif,88
49,MP_OreRab1.3_B2_1_M__03.tif,63
50,MP_OreRab1.3_B2_1_M__03.tif,57
51,MP_OreRab1.3_B2_1_M__03.tif,67
52,MP_OreRab1.3_B2_1_M__03.tif,72
53,MP_OreRab1.3_B2_1_M__03.tif,69
54,MP_OreRab1.3_B2_1_M__03.tif,63
55,MP_OreRab1.3_B2_1_M__03.tif,73
56,MP_OreRab1.3_B2_1_M__03.tif,85
57,MP_OreRab1.3_B2_1_M__03.tif,91
58,MP_OreRab1.3_B2_1_M__03.tif,89
59,MP_OreRab1.3_B2_1_M__03.tif,87
60,MP_OreRab1.3_B2_1_M__03.tif,75
61,MP_OreRab1.3_B2_1_M__03.tif,93
62,MP_OreRab1.3_B2_1_M__03.tif,88
63,MP_OreRab1.3_B2_1_M__03.tif,69
64,MP_OreRab1.3_B2_1_M__03.tif,96
65,MP_OreRab1.3_B2_1_M__04.tif,65
66,MP_OreRab1.3_B2_1_M__04.tif,61
67,MP_OreRab1.3_B2_1_M__04.tif,81
68,MP_OreRab1.3_B2_1_M__04.tif,75
69,MP_OreRab1.3_B2_1_M__04.tif,90
70,MP_OreRab1.3_B2_1_M__04.tif,73
71,MP_OreRab1.3_B2_1_M__04.tif,81
72,MP_OreRab1.3_B2_1_M__04.tif,84
73,MP_OreRab1.3_B2_1_M__04.tif,89
74,MP_OreRab1.3_B2_1_M__04.tif,86
75,MP_OreRab1.3_B2_1_M__04.tif,92
76,MP_OreRab1.3_B2_1_M__04.tif,88
77,MP_OreRab1.3_B2_1_M__04.tif,88
78,MP_OreRab1.3_B2_1_M__04.tif,94
79,MP_OreRab1.3_B2_1_M__04.tif,78
80,MP_OreRab1.3_B2_1_M__04.tif,105
81,MP_OreRab1.3_B2_1_M__05.tif,63
82,MP_OreRab1.3_B2_1_M__05.tif,72
83,MP_OreRab1.3_B2_1_M__05.tif,80
84,MP_OreRab1.3_B2_1_M__05.tif,64
85,MP_OreRab1.3_B2_1_M__05.tif,75
86,MP_OreRab1.3_B2_1_M__05.tif,62
87,MP_OreRab1.3_B2_1_M__05.tif,68
88,MP_OreRab1.3_B2_1_M__05.tif,80
89,MP_OreRab1.3_B2_1_M__05.tif,104
90,MP_OreRab1.3_B2_1_M__05.tif,86
91,MP_OreRab1.3_B2_1_M__05.tif,86
92,MP_OreRab1.3_B2_1_M__05.tif,75
93,MP_OreRab1.3_B2_1_M__05.tif,72
94,MP_OreRab1.3_B2_1_M__05.tif,82
