 ,Label,Count
1,MP_SimDuk2.1_B1_1_F__01.tif,59
2,MP_SimDuk2.1_B1_1_F__01.tif,77
3,MP_SimDuk2.1_B1_1_F__01.tif,74
4,MP_SimDuk2.1_B1_1_F__01.tif,71
5,MP_SimDuk2.1_B1_1_F__01.tif,74
6,MP_SimDuk2.1_B1_1_F__01.tif,74
7,MP_SimDuk2.1_B1_1_F__01.tif,64
8,MP_SimDuk2.1_B1_1_F__01.tif,77
9,MP_SimDuk2.1_B1_1_F__01.tif,86
10,MP_SimDuk2.1_B1_1_F__01.tif,78
11,MP_SimDuk2.1_B1_1_F__01.tif,73
12,MP_SimDuk2.1_B1_1_F__01.tif,83
13,MP_SimDuk2.1_B1_1_F__01.tif,80
14,MP_SimDuk2.1_B1_1_F__01.tif,81
15,MP_SimDuk2.1_B1_1_F__01.tif,58
16,MP_SimDuk2.1_B1_1_F__01.tif,96
17,MP_SimDuk2.1_B1_1_F__02.tif,56
18,MP_SimDuk2.1_B1_1_F__02.tif,55
19,MP_SimDuk2.1_B1_1_F__02.tif,80
20,MP_SimDuk2.1_B1_1_F__02.tif,62
21,MP_SimDuk2.1_B1_1_F__02.tif,69
22,MP_SimDuk2.1_B1_1_F__02.tif,70
23,MP_SimDuk2.1_B1_1_F__02.tif,70
24,MP_SimDuk2.1_B1_1_F__02.tif,78
25,MP_SimDuk2.1_B1_1_F__02.tif,76
26,MP_SimDuk2.1_B1_1_F__02.tif,83
27,MP_SimDuk2.1_B1_1_F__02.tif,73
28,MP_SimDuk2.1_B1_1_F__02.tif,70
29,MP_SimDuk2.1_B1_1_F__02.tif,77
30,MP_SimDuk2.1_B1_1_F__02.tif,79
31,MP_SimDuk2.1_B1_1_F__02.tif,62
32,MP_SimDuk2.1_B1_1_F__02.tif,93
33,MP_SimDuk2.1_B1_1_F__03.tif,51
34,MP_SimDuk2.1_B1_1_F__03.tif,64
35,MP_SimDuk2.1_B1_1_F__03.tif,74
36,MP_SimDuk2.1_B1_1_F__03.tif,78
37,MP_SimDuk2.1_B1_1_F__03.tif,71
38,MP_SimDuk2.1_B1_1_F__03.tif,68
39,MP_SimDuk2.1_B1_1_F__03.tif,75
40,MP_SimDuk2.1_B1_1_F__03.tif,85
41,MP_SimDuk2.1_B1_1_F__03.tif,98
42,MP_SimDuk2.1_B1_1_F__03.tif,87
43,MP_SimDuk2.1_B1_1_F__03.tif,73
44,MP_SimDuk2.1_B1_1_F__03.tif,74
45,MP_SimDuk2.1_B1_1_F__03.tif,81
46,MP_SimDuk2.1_B1_1_F__03.tif,81
47,MP_SimDuk2.1_B1_1_F__03.tif,62
48,MP_SimDuk2.1_B1_1_F__03.tif,98
49,MP_SimDuk2.1_B1_1_F__04.tif,53
50,MP_SimDuk2.1_B1_1_F__04.tif,62
51,MP_SimDuk2.1_B1_1_F__04.tif,72
52,MP_SimDuk2.1_B1_1_F__04.tif,61
53,MP_SimDuk2.1_B1_1_F__04.tif,76
54,MP_SimDuk2.1_B1_1_F__04.tif,64
55,MP_SimDuk2.1_B1_1_F__04.tif,70
56,MP_SimDuk2.1_B1_1_F__04.tif,70
57,MP_SimDuk2.1_B1_1_F__04.tif,75
58,MP_SimDuk2.1_B1_1_F__04.tif,82
59,MP_SimDuk2.1_B1_1_F__04.tif,77
60,MP_SimDuk2.1_B1_1_F__04.tif,76
61,MP_SimDuk2.1_B1_1_F__04.tif,90
62,MP_SimDuk2.1_B1_1_F__04.tif,76
63,MP_SimDuk2.1_B1_1_F__04.tif,68
64,MP_SimDuk2.1_B1_1_F__04.tif,68
65,MP_SimDuk2.1_B1_1_F__05.tif,66
66,MP_SimDuk2.1_B1_1_F__05.tif,60
67,MP_SimDuk2.1_B1_1_F__05.tif,68
68,MP_SimDuk2.1_B1_1_F__05.tif,53
69,MP_SimDuk2.1_B1_1_F__05.tif,74
70,MP_SimDuk2.1_B1_1_F__05.tif,62
71,MP_SimDuk2.1_B1_1_F__05.tif,58
72,MP_SimDuk2.1_B1_1_F__05.tif,80
73,MP_SimDuk2.1_B1_1_F__05.tif,84
74,MP_SimDuk2.1_B1_1_F__05.tif,86
75,MP_SimDuk2.1_B1_1_F__05.tif,62
76,MP_SimDuk2.1_B1_1_F__05.tif,73
